測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
38212040,2025/06/01,01,0,0,0.002,0.002,,0.034,,,,0.012,10,,CALM,0.3,,
38212040,2025/06/01,02,0,0,0.003,0.003,,0.031,,,,0.011,9,,WSW,0.6,,
38212040,2025/06/01,03,0,0,0.003,0.003,,0.033,,,,0.012,9,,SSW,0.6,,
38212040,2025/06/01,04,0.001,0,0.003,0.003,,0.040,,,,0.009,8,,SW,0.5,,
38212040,2025/06/01,05,0.001,0,0.003,0.003,,0.042,,,,0.012,9,,CALM,0.3,,
38212040,2025/06/01,06,0.001,0,0.003,0.003,,0.034,,,,0.011,8,,CALM,0.3,,
38212040,2025/06/01,07,0.001,0,0.002,0.002,,0.034,,,,0.012,7,,CALM,0.3,,
38212040,2025/06/01,08,0.001,0,0.002,0.002,,0.044,,,,0.011,8,,WNW,0.5,,
38212040,2025/06/01,09,0.001,0,0.003,0.003,,0.051,,,,0.015,11,,SSW,0.9,,
38212040,2025/06/01,10,0.001,0,0.002,0.002,,0.055,,,,0.015,11,,ESE,1.1,,
38212040,2025/06/01,11,0.001,0,0.002,0.002,,0.056,,,,0.014,11,,ENE,0.7,,
38212040,2025/06/01,12,0.001,0,0.002,0.002,,0.059,,,,0.011,9,,E,0.6,,
38212040,2025/06/01,13,0.001,0,0.002,0.002,,0.060,,,,0.011,8,,E,0.6,,
38212040,2025/06/01,14,0.001,0,0.003,0.003,,0.059,,,,0.010,9,,E,0.7,,
38212040,2025/06/01,15,0.001,0,0.002,0.002,,0.058,,,,0.013,9,,ENE,0.6,,
38212040,2025/06/01,16,0.001,0,0.003,0.003,,0.062,,,,0.012,12,,ENE,0.7,,
38212040,2025/06/01,17,0.001,0,0.005,0.005,,0.062,,,,0.015,11,,NNW,0.6,,
38212040,2025/06/01,18,0.001,0,0.004,0.004,,0.062,,,,0.016,13,,ENE,0.5,,
38212040,2025/06/01,19,0.001,0,0.003,0.003,,0.059,,,,0.020,17,,SW,1.8,,
38212040,2025/06/01,20,0.001,0,0.006,0.006,,0.054,,,,0.019,17,,CALM,0.3,,
38212040,2025/06/01,21,0.001,0,0.005,0.005,,0.046,,,,0.017,14,,NW,0.5,,
38212040,2025/06/01,22,0.001,0,0.005,0.005,,0.042,,,,0.019,15,,SE,0.4,,
38212040,2025/06/01,23,0.001,0,0.006,0.006,,0.037,,,,0.016,12,,CALM,0.2,,
38212040,2025/06/01,24,0,0,0.003,0.003,,0.033,,,,0.020,17,,CALM,0.1,,
38212040,2025/06/02,01,0,0,0.003,0.003,,0.027,,,,0.018,16,,W,0.4,,
38212040,2025/06/02,02,-,-,-,-,,0.026,,,,0.018,13,,CALM,0.1,,
38212040,2025/06/02,03,0,0,0.003,0.003,,0.025,,,,0.016,14,,CALM,0.2,,
38212040,2025/06/02,04,0,0,0.003,0.003,,0.023,,,,0.015,14,,WSW,0.5,,
38212040,2025/06/02,05,0,0,0.004,0.004,,0.020,,,,0.018,13,,SSE,0.4,,
38212040,2025/06/02,06,0,0,0.004,0.004,,0.022,,,,0.016,12,,CALM,0.3,,
38212040,2025/06/02,07,0,0,0.004,0.004,,0.025,,,,0.016,12,,NW,0.4,,
38212040,2025/06/02,08,0.001,0.001,0.005,0.006,,0.033,,,,0.017,13,,CALM,0.3,,
38212040,2025/06/02,09,0.001,0.001,0.007,0.008,,0.040,,,,0.021,14,,NW,0.7,,
38212040,2025/06/02,10,0.001,0.001,0.008,0.009,,0.035,,,,0.019,16,,E,0.6,,
38212040,2025/06/02,11,0.002,0.002,0.009,0.011,,0.038,,,,0.018,15,,ENE,0.7,,
38212040,2025/06/02,12,0.002,0.002,0.008,0.010,,0.042,,,,0.020,16,,N,0.6,,
38212040,2025/06/02,13,0.002,0.001,0.006,0.007,,0.052,,,,0.021,15,,NNW,1.1,,
38212040,2025/06/02,14,0.002,0,0.005,0.005,,0.056,,,,0.021,16,,N,0.4,,
38212040,2025/06/02,15,0.001,0,0.004,0.004,,0.058,,,,0.022,15,,ENE,0.7,,
