測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
38205080,2023/03/01,01,0.001,0,0.007,0.007,,0.021,0.13,1.99,2.12,0.011,,,SSE,0.5,,
38205080,2023/03/01,02,0.001,0,0.005,0.005,,0.020,0.09,2.00,2.09,0.008,,,CALM,0.2,,
38205080,2023/03/01,03,0.001,0,0.005,0.005,,0.020,0.09,1.99,2.08,0.010,,,SSE,0.6,,
38205080,2023/03/01,04,0.001,0,0.006,0.006,,0.019,0.13,2.00,2.13,0.008,,,WSW,0.5,,
38205080,2023/03/01,05,0.001,0,0.004,0.004,,0.021,0.09,1.98,2.07,0.010,,,E,0.7,,
38205080,2023/03/01,06,0.001,0,0.007,0.007,,0.016,0.12,2.01,2.13,0.011,,,SSW,0.6,,
38205080,2023/03/01,07,0.001,0.001,0.013,0.014,,0.014,0.14,1.99,2.13,0.015,,,CALM,0.1,,
38205080,2023/03/01,08,0.001,0.005,0.015,0.020,,0.009,0.23,2.01,2.24,0.016,,,S,0.5,,
38205080,2023/03/01,09,0.003,0.004,0.012,0.016,,0.022,0.16,1.98,2.14,0.015,,,E,0.7,,
38205080,2023/03/01,10,0.006,0.005,0.015,0.020,,0.024,0.14,1.97,2.11,0.019,,,N,1.9,,
38205080,2023/03/01,11,0.004,0.004,0.010,0.014,,0.028,0.14,1.97,2.11,0.015,,,E,1.1,,
38205080,2023/03/01,12,0.004,0.007,0.015,0.022,,0.027,0.14,1.98,2.12,0.021,,,N,3.0,,
38205080,2023/03/01,13,0.003,0.011,0.017,0.028,,0.025,0.10,1.99,2.09,0.022,,,N,3.1,,
38205080,2023/03/01,14,0.004,0.013,0.025,0.038,,0.022,0.11,2.00,2.11,0.023,,,N,1.3,,
38205080,2023/03/01,15,0.006,0.006,0.024,0.030,,0.025,0.13,1.99,2.12,0.024,,,ESE,1.1,,
38205080,2023/03/01,16,0.005,0.004,0.021,0.025,,0.030,0.12,1.98,2.10,0.024,,,N,1.4,,
38205080,2023/03/01,17,0.004,0.003,0.026,0.029,,0.024,0.11,1.99,2.10,0.025,,,N,0.5,,
38205080,2023/03/01,18,0.004,0.001,0.024,0.025,,0.027,0.16,1.98,2.14,0.023,,,CALM,0.3,,
38205080,2023/03/01,19,0.004,0,0.022,0.022,,0.028,0.18,1.98,2.16,0.025,,,W,1.1,,
38205080,2023/03/01,20,0.006,0,0.010,0.010,,0.040,0.10,1.95,2.05,0.019,,,W,0.4,,
38205080,2023/03/01,21,0.007,0,0.012,0.012,,0.035,0.11,1.95,2.06,0.020,,,SW,0.6,,
38205080,2023/03/01,22,0.005,0,0.012,0.012,,0.031,0.10,1.95,2.05,0.021,,,WNW,1.1,,
38205080,2023/03/01,23,0.003,0,0.007,0.007,,0.043,0.07,1.95,2.02,0.009,,,W,1.3,,
38205080,2023/03/01,24,0.003,0,0.006,0.006,,0.050,0.08,1.96,2.04,0.010,,,W,1.1,,
38205080,2023/03/02,01,0.002,0,0.004,0.004,,0.050,0.06,1.96,2.02,0.006,,,W,0.7,,
38205080,2023/03/02,02,0.001,0,0.003,0.003,,0.055,0.06,1.97,2.03,0.014,,,WSW,1.5,,
38205080,2023/03/02,03,0.001,0,0.003,0.003,,0.056,0.05,1.98,2.03,0.023,,,W,1.0,,
38205080,2023/03/02,04,0.001,0,0.004,0.004,,0.054,0.05,1.98,2.03,0.020,,,W,0.9,,
38205080,2023/03/02,05,0.003,0,0.008,0.008,,0.046,0.06,1.99,2.05,0.020,,,W,1.1,,
38205080,2023/03/02,06,0.003,0,0.009,0.009,,0.044,0.10,1.99,2.09,0.023,,,W,1.1,,
38205080,2023/03/02,07,0.002,0,0.007,0.007,,0.046,0.10,2.00,2.10,0.018,,,W,1.0,,
38205080,2023/03/02,08,0.002,0,0.007,0.007,,0.042,0.08,1.99,2.07,0.020,,,NW,1.2,,
38205080,2023/03/02,09,0.001,0,0.004,0.004,,0.042,0.05,1.99,2.04,0.008,,,NNW,5.0,,
38205080,2023/03/02,10,0.001,0,0.004,0.004,,0.040,0.05,1.99,2.04,0.006,,,NNW,3.5,,
38205080,2023/03/02,11,0.001,0,0.003,0.003,,0.041,0.04,1.98,2.02,0.007,,,NNW,3.1,,
38205080,2023/03/02,12,0.001,0.001,0.003,0.004,,0.043,0.04,1.98,2.02,0.008,,,NNW,3.3,,
38205080,2023/03/02,13,0.001,0,0.003,0.003,,0.044,0.04,1.98,2.02,0.009,,,NNW,3.2,,
38205080,2023/03/02,14,0,0,0.003,0.003,,0.044,0.05,1.98,2.03,0.007,,,NNW,3.7,,
38205080,2023/03/02,15,0.001,0,0.003,0.003,,0.043,0.04,1.98,2.02,0.007,,,NW,1.8,,
38205080,2023/03/02,16,0.001,0,0.003,0.003,,0.043,0.04,1.98,2.02,0.007,,,NNW,4.0,,
38205080,2023/03/02,17,0,0,0.002,0.002,,0.043,0.03,1.98,2.01,0.005,,,NNW,2.9,,
38205080,2023/03/02,18,0.001,0,0.002,0.002,,0.043,0.03,1.98,2.01,0.006,,,NNW,4.4,,
38205080,2023/03/02,19,0.001,0,0.003,0.003,,0.042,0.04,1.98,2.02,0.006,,,NNW,2.1,,
38205080,2023/03/02,20,0.001,0,0.002,0.002,,0.042,0.04,1.99,2.03,0.008,,,NNW,3.1,,
