測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
38421010,2023/03/01,01,0.002,,,,,,,,,0.008,8,,SE,1.4,,
38421010,2023/03/01,02,0.002,,,,,,,,,0.010,14,,SE,1.4,,
38421010,2023/03/01,03,0.002,,,,,,,,,0.011,12,,SE,1.5,,
38421010,2023/03/01,04,0.002,,,,,,,,,0.007,-2,,SE,1.0,,
38421010,2023/03/01,05,0.002,,,,,,,,,0.010,11,,SE,1.1,,
38421010,2023/03/01,06,0.003,,,,,,,,,0.009,6,,SSE,0.4,,
38421010,2023/03/01,07,0.004,,,,,,,,,0.012,19,,CALM,0.1,,
38421010,2023/03/01,08,0.003,,,,,,,,,0.017,-2,,CALM,0,,
38421010,2023/03/01,09,0.003,,,,,,,,,0.020,0,,SE,1.0,,
38421010,2023/03/01,10,0.006,,,,,,,,,0.010,13,,SE,1.1,,
38421010,2023/03/01,11,0.007,,,,,,,,,0.011,8,,SE,0.9,,
38421010,2023/03/01,12,0.005,,,,,,,,,0.011,10,,SE,0.8,,
38421010,2023/03/01,13,0.005,,,,,,,,,0.015,7,,WNW,0.5,,
38421010,2023/03/01,14,0.005,,,,,,,,,0.014,10,,WSW,0.6,,
38421010,2023/03/01,15,0.004,,,,,,,,,0.012,11,,WSW,0.6,,
38421010,2023/03/01,16,0.003,,,,,,,,,0.015,0,,S,0.6,,
38421010,2023/03/01,17,0.003,,,,,,,,,0.010,6,,SSE,1.0,,
38421010,2023/03/01,18,0.003,,,,,,,,,0.014,5,,SSE,1.4,,
38421010,2023/03/01,19,0.003,,,,,,,,,0.025,16,,SW,0.7,,
38421010,2023/03/01,20,0.001,,,,,,,,,0.016,29,,CALM,0.2,,
38421010,2023/03/01,21,0.001,,,,,,,,,0.009,9,,SW,0.4,,
38421010,2023/03/01,22,0.001,,,,,,,,,0.006,4,,SSW,0.6,,
38421010,2023/03/01,23,0.001,,,,,,,,,0.011,11,,CALM,0.3,,
38421010,2023/03/01,24,0.001,,,,,,,,,0.022,11,,SSE,1.1,,
38421010,2023/03/02,01,0.001,,,,,,,,,0.024,8,,SSE,1.1,,
38421010,2023/03/02,02,0.001,,,,,,,,,0.020,15,,SSE,0.4,,
38421010,2023/03/02,03,0.001,,,,,,,,,0.019,21,,WSW,1.0,,
38421010,2023/03/02,04,0.001,,,,,,,,,0.028,5,,WNW,0.9,,
38421010,2023/03/02,05,0.001,,,,,,,,,0.035,23,,WNW,1.3,,
38421010,2023/03/02,06,0.001,,,,,,,,,0.034,9,,W,1.2,,
38421010,2023/03/02,07,0.001,,,,,,,,,0.036,27,,W,1.2,,
38421010,2023/03/02,08,0.001,,,,,,,,,0.031,12,,W,1.5,,
38421010,2023/03/02,09,0.001,,,,,,,,,0.019,22,,W,1.3,,
38421010,2023/03/02,10,0.001,,,,,,,,,0.022,26,,WNW,1.3,,
38421010,2023/03/02,11,0.001,,,,,,,,,0.021,-1,,WNW,1.3,,
38421010,2023/03/02,12,0.001,,,,,,,,,0.019,23,,WNW,1.4,,
38421010,2023/03/02,13,0.001,,,,,,,,,0.008,7,,NW,0.9,,
38421010,2023/03/02,14,0.001,,,,,,,,,0.007,-6,,NNW,1.0,,
38421010,2023/03/02,15,0,,,,,,,,,0.004,7,,NE,0.8,,
38421010,2023/03/02,16,0.001,,,,,,,,,0.003,-1,,NW,0.8,,
38421010,2023/03/02,17,0,,,,,,,,,0.006,0,,NW,0.9,,
38421010,2023/03/02,18,0.001,,,,,,,,,0.004,12,,NE,0.6,,
38421010,2023/03/02,19,0,,,,,,,,,0.005,15,,ENE,0.6,,
38421010,2023/03/02,20,0,,,,,,,,,0.006,-5,,NW,0.8,,
38421010,2023/03/02,21,0.001,,,,,,,,,0.005,13,,NNE,0.7,,
38421010,2023/03/02,22,0.001,,,,,,,,,0.009,8,,ENE,0.8,,
38421010,2023/03/02,23,0.001,,,,,,,,,0.005,0,,NE,0.7,,
38421010,2023/03/02,24,0.001,,,,,,,,,0.003,0,,ESE,0.7,,
38421010,2023/03/03,01,0.001,,,,,,,,,0.007,2,,E,0.6,,
38421010,2023/03/03,02,0.001,,,,,,,,,0.005,9,,E,0.6,,
38421010,2023/03/03,03,0,,,,,,,,,0.006,5,,ESE,0.4,,
38421010,2023/03/03,04,0,,,,,,,,,0.008,-7,,ESE,0.4,,
38421010,2023/03/03,05,0,,,,,,,,,0.007,4,,CALM,0.3,,
38421010,2023/03/03,06,0,,,,,,,,,0.009,1,,SE,0.4,,
38421010,2023/03/03,07,0,,,,,,,,,0.008,4,,CALM,0.3,,
38421010,2023/03/03,08,0,,,,,,,,,0.007,1,,CALM,0.3,,
38421010,2023/03/03,09,0,,,,,,,,,0.009,-2,,ENE,0.4,,
38421010,2023/03/03,10,0.001,,,,,,,,,0.007,5,,ENE,0.7,,
38421010,2023/03/03,11,0.001,,,,,,,,,0.008,14,,ENE,0.6,,
38421010,2023/03/03,12,0.001,,,,,,,,,0.010,1,,ENE,0.5,,
38421010,2023/03/03,13,0.001,,,,,,,,,0.011,3,,WNW,0.6,,
38421010,2023/03/03,14,0.001,,,,,,,,,0.012,8,,NNW,0.6,,
38421010,2023/03/03,15,0.001,,,,,,,,,0.013,0,,WNW,0.6,,
38421010,2023/03/03,16,0.001,,,,,,,,,0.012,14,,N,0.4,,
38421010,2023/03/03,17,0.001,,,,,,,,,0.013,-9,,CALM,0.1,,
38421010,2023/03/03,18,0.001,,,,,,,,,0.008,8,,SSE,0.4,,
38421010,2023/03/03,19,0.001,,,,,,,,,0.010,8,,SE,0.4,,
38421010,2023/03/03,20,0.001,,,,,,,,,0.008,0,,SE,0.5,,
38421010,2023/03/03,21,0.001,,,,,,,,,0.009,2,,CALM,0.3,,
38421010,2023/03/03,22,0.001,,,,,,,,,0.008,6,,SE,0.4,,
38421010,2023/03/03,23,0.001,,,,,,,,,0.007,3,,SE,0.4,,
38421010,2023/03/03,24,0.001,,,,,,,,,0.010,4,,CALM,0.2,,
38421010,2023/03/04,01,0.001,,,,,,,,,0.010,2,,CALM,0.2,,
38421010,2023/03/04,02,0.001,,,,,,,,,0.013,14,,CALM,0.2,,
38421010,2023/03/04,03,0.001,,,,,,,,,0.010,13,,SE,0.4,,
38421010,2023/03/04,04,0.001,,,,,,,,,0.010,12,,CALM,0.3,,
38421010,2023/03/04,05,0.001,,,,,,,,,0.009,8,,CALM,0.2,,
38421010,2023/03/04,06,0,,,,,,,,,0.014,5,,CALM,0.3,,
38421010,2023/03/04,07,0,,,,,,,,,0.014,19,,CALM,0.2,,
38421010,2023/03/04,08,0.001,,,,,,,,,0.010,9,,CALM,0,,
38421010,2023/03/04,09,0.001,,,,,,,,,0.013,12,,ENE,0.4,,
38421010,2023/03/04,10,0.003,,,,,,,,,0.011,21,,NE,0.6,,
38421010,2023/03/04,11,0.001,,,,,,,,,0.012,18,,NE,0.8,,
38421010,2023/03/04,12,0.003,,,,,,,,,0.011,18,,NE,0.7,,
38421010,2023/03/04,13,0.003,,,,,,,,,0.011,2,,ENE,0.9,,
38421010,2023/03/04,14,0.003,,,,,,,,,0.015,4,,ENE,0.6,,
38421010,2023/03/04,15,0.002,,,,,,,,,0.014,1,,NE,0.4,,
38421010,2023/03/04,16,0.002,,,,,,,,,0.012,-1,,CALM,0.3,,
38421010,2023/03/04,17,0.002,,,,,,,,,0.011,10,,CALM,0,,
38421010,2023/03/04,18,0.001,,,,,,,,,0.015,9,,CALM,0.2,,
38421010,2023/03/04,19,0.001,,,,,,,,,0.010,5,,S,0.4,,
38421010,2023/03/04,20,0.002,,,,,,,,,0.011,0,,CALM,0.2,,
38421010,2023/03/04,21,0.001,,,,,,,,,0.014,12,,CALM,0.3,,
38421010,2023/03/04,22,0.001,,,,,,,,,0.014,1,,SSE,0.4,,
38421010,2023/03/04,23,0.001,,,,,,,,,0.010,13,,CALM,0.3,,
38421010,2023/03/04,24,0.001,,,,,,,,,0.009,4,,CALM,0.3,,
38421010,2023/03/05,01,0.001,,,,,,,,,0.013,7,,CALM,0.3,,
38421010,2023/03/05,02,0.001,,,,,,,,,0.012,8,,CALM,0.2,,
38421010,2023/03/05,03,0.002,,,,,,,,,0.018,14,,CALM,0.3,,
38421010,2023/03/05,04,0.002,,,,,,,,,0.019,20,,CALM,0.3,,
38421010,2023/03/05,05,0.001,,,,,,,,,0.020,8,,CALM,0.3,,
38421010,2023/03/05,06,0.001,,,,,,,,,0.018,4,,CALM,0.2,,
38421010,2023/03/05,07,0.001,,,,,,,,,0.017,8,,CALM,0.3,,
38421010,2023/03/05,08,0.001,,,,,,,,,0.022,0,,CALM,0.2,,
38421010,2023/03/05,09,0.001,,,,,,,,,0.020,19,,CALM,0.2,,
38421010,2023/03/05,10,0.002,,,,,,,,,0.023,25,,ENE,0.6,,
38421010,2023/03/05,11,0.002,,,,,,,,,0.020,26,,ENE,0.6,,
38421010,2023/03/05,12,0.002,,,,,,,,,0.015,9,,NNW,0.6,,
38421010,2023/03/05,13,0.002,,,,,,,,,0.012,0,,ENE,0.6,,
38421010,2023/03/05,14,0.002,,,,,,,,,0.013,2,,ENE,0.7,,
