測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
38201020,2023/06/01,01,0,0,0.004,0.004,,0.015,0.07,2.01,2.08,0.016,8,,ENE,1.2,,
38201020,2023/06/01,02,0,-,-,-,,0.012,0.08,2.04,2.12,0.001,8,,ENE,1.3,,
38201020,2023/06/01,03,0,0,0.003,0.003,,0.010,0.05,2.04,2.09,0.010,9,,ESE,1.3,,
38201020,2023/06/01,04,0,0,0.004,0.004,,0.009,0.04,2.03,2.07,0.006,8,,NE,0.8,,
38201020,2023/06/01,05,0,0,0.004,0.004,,0.011,0.06,2.01,2.07,0.002,9,,CALM,0.3,,
38201020,2023/06/01,06,0,0.001,0.011,0.012,,0.012,0.09,2.03,2.12,0.018,9,,CALM,0.1,,
38201020,2023/06/01,07,0.001,0.007,0.020,0.027,,0.010,0.07,2.00,2.07,0,9,,CALM,0.2,,
38201020,2023/06/01,08,0.001,0.005,0.014,0.019,,0.016,0.09,2.00,2.09,0.014,9,,W,0.5,,
38201020,2023/06/01,09,0.003,0.014,0.022,0.036,,0.012,0.12,1.99,2.11,0.012,14,,N,1.0,,
38201020,2023/06/01,10,0.004,0.006,0.012,0.018,,0.020,0.10,1.99,2.09,0.030,12,,WSW,0.9,,
38201020,2023/06/01,11,0.010,0.007,0.018,0.025,,0.018,0.15,1.99,2.14,0.015,17,,W,1.9,,
38201020,2023/06/01,12,0.011,0.005,0.019,0.024,,0.020,0.13,2.00,2.13,0.029,16,,WSW,0.6,,
38201020,2023/06/01,13,0.012,0.008,0.022,0.030,,0.017,0.12,2.02,2.14,0.023,15,,W,1.8,,
38201020,2023/06/01,14,0.006,0.004,0.012,0.016,,0.030,0.10,2.00,2.10,0.027,14,,N,1.5,,
38201020,2023/06/01,15,0.006,0.001,0.011,0.012,,0.037,0.11,2.00,2.11,0.046,17,,W,1.7,,
38201020,2023/06/01,16,0.009,0.006,0.030,0.036,,0.031,0.14,2.02,2.16,0.030,18,,W,1.9,,
38201020,2023/06/01,17,0.011,0.003,0.029,0.032,,0.029,0.08,2.04,2.12,0.020,21,,W,0.6,,
38201020,2023/06/01,18,0.001,0.001,0.019,0.020,,0.035,0.10,2.04,2.14,0.034,18,,SW,0.7,,
38201020,2023/06/01,19,0.001,0.002,0.040,0.042,,0.016,0.09,2.04,2.13,0.024,20,,E,1.0,,
38201020,2023/06/01,20,0,0,0.028,0.028,,0.023,0.15,2.07,2.22,0.050,19,,NNE,1.3,,
38201020,2023/06/01,21,0,0,0.015,0.015,,0.032,0.09,2.04,2.13,0.037,16,,ENE,0.7,,
38201020,2023/06/01,22,0,0,0.020,0.020,,0.023,0.06,2.04,2.10,0.029,17,,NE,0.5,,
38201020,2023/06/01,23,0,0,0.017,0.017,,0.023,0.08,2.03,2.11,0.026,18,,NE,1.0,,
38201020,2023/06/01,24,0,0,0.020,0.020,,0.022,0.26,2.04,2.30,0.012,16,,SSE,0.5,,
38201020,2023/06/02,01,0,0,0.016,0.016,,0.021,0.22,2.03,2.25,0.024,16,,CALM,0.1,,
38201020,2023/06/02,02,-,0,0.016,0.016,,0.018,0.25,2.05,2.30,0.023,13,,N,0.5,,
38201020,2023/06/02,03,0,0,0.020,0.020,,0.014,0.15,2.02,2.17,0.021,12,,CALM,0.1,,
38201020,2023/06/02,04,0,0,0.013,0.013,,0.016,0.16,2.04,2.20,0.006,10,,NE,0.9,,
38201020,2023/06/02,05,0,0,0.016,0.016,,0.011,0.14,2.09,2.23,0.011,11,,CALM,0.3,,
38201020,2023/06/02,06,0,0,0.010,0.010,,0.016,0.11,2.03,2.14,0.013,7,,NE,1.0,,
38201020,2023/06/02,07,0,0,0.012,0.012,,0.013,0.12,2.05,2.17,0.005,7,,NE,2.2,,
38201020,2023/06/02,08,0,0.001,0.013,0.014,,0.014,0.14,2.04,2.18,0.016,6,,ESE,2.1,,
38201020,2023/06/02,09,0,0.001,0.008,0.009,,0.025,0.05,1.93,1.98,0.018,3,,ESE,2.1,,
38201020,2023/06/02,10,0,0.001,0.010,0.011,,0.023,0.06,1.94,2.00,0.028,1,,NE,2.1,,
38201020,2023/06/02,11,0,0.007,0.019,0.026,,0.012,0.19,2.03,2.22,0,5,,NNE,0.6,,
38201020,2023/06/02,12,0,0.007,0.020,0.027,,0.011,0.12,2.03,2.15,0,6,,E,0.5,,
38201020,2023/06/02,13,0,0.007,0.017,0.024,,0.013,0.15,2.04,2.19,0.017,5,,WSW,0.9,,
