測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
38206050,2024/07/01,01,0.001,0.001,0.004,0.005,,0.009,0.13,2.11,2.24,0.023,11,,NW,0.5,,
38206050,2024/07/01,02,-,-,-,-,,0.010,0.12,2.10,2.22,0.018,9,,E,1.6,,
38206050,2024/07/01,03,0.001,0,0.002,0.002,,0.011,0.07,2.01,2.08,0.012,6,,S,1.5,,
38206050,2024/07/01,04,0.001,0,0.002,0.002,,0.008,0.06,1.98,2.04,0.007,3,,SE,0.6,,
38206050,2024/07/01,05,0.001,0.001,0.002,0.003,,0.007,0.09,2.27,2.36,0.009,3,,SSW,1.2,,
38206050,2024/07/01,06,0.001,0.002,0.005,0.007,,0.006,0.09,2.09,2.18,0.014,4,,E,1.6,,
38206050,2024/07/01,07,0.001,0.002,0.005,0.007,,0.005,0.12,2.04,2.16,0.011,5,,S,1.0,,
38206050,2024/07/01,08,0.001,0.002,0.003,0.005,,0.009,0.10,1.90,2.00,0.010,2,,SW,1.1,,
38206050,2024/07/01,09,0.001,0.003,0.004,0.007,,0.009,0.13,1.97,2.10,0.014,3,,ESE,0.9,,
38206050,2024/07/01,10,0,0.002,0.003,0.005,,0.010,0.14,1.92,2.06,0.005,3,,SE,0.5,,
38206050,2024/07/01,11,0.001,0.001,0.004,0.005,,0.012,0.12,1.94,2.06,0.005,3,,SW,0.6,,
38206050,2024/07/01,12,0.001,0.002,0.004,0.006,,0.013,0.10,1.92,2.02,0.010,3,,SSW,0.9,,
38206050,2024/07/01,13,0,0.001,0.003,0.004,,0.013,0.12,1.86,1.98,0.002,2,,S,1.4,,
38206050,2024/07/01,14,0,0.003,0.003,0.006,,0.011,0.12,1.87,1.99,0.006,2,,SE,1.0,,
38206050,2024/07/01,15,0.001,0.002,0.004,0.006,,0.010,0.15,2.09,2.24,0.003,2,,SSE,1.8,,
38206050,2024/07/01,16,0.001,0.002,0.003,0.005,,0.009,0.11,1.85,1.96,0.004,2,,SSW,1.3,,
38206050,2024/07/01,17,0.001,0.001,0.003,0.004,,0.010,-,-,-,0.007,2,,S,0.4,,
