測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
38201530,2024/04/01,01,0,0,0.004,0.004,0.2,0.041,0.07,1.95,2.02,0,5,,NE,0.7,,
38201530,2024/04/01,03,0,0,0.002,0.002,0.2,0.033,0.07,1.96,2.03,0,5,,ESE,1.3,,
38201530,2024/04/01,04,0,0,0.003,0.003,0.2,0.027,0.07,1.96,2.03,0,4,,CALM,0.1,,
38201530,2024/04/01,05,0,0.001,0.002,0.003,0.2,0.027,0.07,1.95,2.02,0,3,,SSW,0.6,,
38201530,2024/04/01,06,0.001,0,0.005,0.005,0.2,0.030,0.07,1.96,2.03,0,7,,S,0.9,,
38201530,2024/04/01,07,0.001,0.001,0.006,0.007,0.2,0.029,0.07,1.97,2.04,0,11,,SSW,0.6,,
38201530,2024/04/01,08,0.001,0.003,0.010,0.013,0.4,0.023,0.10,1.99,2.09,0,21,,WSW,0.8,,
38201530,2024/04/01,09,0.001,0.003,0.009,0.012,0.4,0.027,0.10,2.01,2.11,0,19,,SW,1.5,,
38201530,2024/04/01,10,0.001,0.002,0.006,0.008,0.3,0.048,0.07,2.01,2.08,0,18,,WSW,1.5,,
38201530,2024/04/01,11,0.001,0.002,0.006,0.008,0.3,0.051,0.07,2.01,2.08,0,19,,SW,1.4,,
38201530,2024/04/01,12,0.001,0.002,0.004,0.006,0.3,0.055,0.06,2.00,2.06,0,15,,WSW,1.6,,
38201530,2024/04/01,13,0.001,0.001,0.004,0.005,0.3,0.060,0.06,2.00,2.06,0,16,,SW,1.2,,
38201530,2024/04/01,14,0.001,0.002,0.006,0.008,0.3,0.060,0.08,2.00,2.08,0,19,,WSW,1.7,,
38201530,2024/04/01,15,0.001,0.002,0.005,0.007,0.3,0.066,0.07,2.00,2.07,0,15,,WSW,1.6,,
38201530,2024/04/01,16,0.001,0.001,0.007,0.008,0.3,0.068,0.07,2.00,2.07,0,17,,WSW,1.3,,
38201530,2024/04/01,17,0.001,0.001,0.006,0.007,0.3,0.066,0.06,2.00,2.06,0,17,,WSW,1.1,,
38201530,2024/04/01,18,0.001,0,0.005,0.005,0.2,0.066,0.07,2.00,2.07,0,18,,SW,0.8,,
38201530,2024/04/01,19,0.001,0.001,0.007,0.008,0.3,0.059,0.07,2.00,2.07,0,16,,CALM,0.1,,
38201530,2024/04/01,20,0.001,0.002,0.012,0.014,0.4,0.046,0.13,2.00,2.13,0,15,,ESE,2.1,,
38201530,2024/04/01,21,0.001,0,0.006,0.006,0.3,0.040,0.10,2.00,2.10,0,13,,ESE,1.7,,
