測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
38201530,2023/08/01,01,0.001,0,0.004,0.004,0.2,0.018,0.14,1.93,2.07,0.020,8,,E,0.4,,
38201530,2023/08/01,02,0.001,-,-,-,0.2,0.014,0.14,1.93,2.07,0.014,7,,NE,0.6,,
38201530,2023/08/01,03,0.001,0,0.007,0.007,0.2,0.014,0.14,1.96,2.10,0.019,14,,ESE,0.8,,
38201530,2023/08/01,04,0.001,0,0.004,0.004,0.2,0.011,0.13,2.00,2.13,0.012,7,,ESE,0.8,,
38201530,2023/08/01,05,0,0.002,0.004,0.006,0.2,0.010,0.13,1.95,2.08,0.011,10,,E,1.1,,
38201530,2023/08/01,06,0,0.002,0.005,0.007,0.2,0.008,0.13,1.99,2.12,0.011,8,,ENE,0.7,,
38201530,2023/08/01,07,0.001,0.004,0.004,0.008,0.2,0.011,0.13,1.91,2.04,0.013,9,,CALM,0.3,,
38201530,2023/08/01,08,0.001,0.007,0.008,0.015,0.3,0.018,0.15,1.92,2.07,0.010,14,,ENE,0.8,,
38201530,2023/08/01,09,0.002,0.007,0.010,0.017,0.4,0.030,0.17,1.91,2.08,0.012,17,,NNE,0.9,,
38201530,2023/08/01,10,0.004,0.006,0.013,0.019,0.3,0.036,0.15,1.91,2.06,0.025,19,,NW,1.7,,
38201530,2023/08/01,11,0.005,0.004,0.012,0.016,0.3,0.049,0.17,1.92,2.09,0.026,22,,SSW,1.6,,
38201530,2023/08/01,12,0.003,0.004,0.008,0.012,0.3,0.047,0.13,1.90,2.03,0.016,22,,N,2.3,,
38201530,2023/08/01,13,0.002,0.004,0.011,0.015,0.4,0.055,0.18,1.91,2.09,0.018,10,,N,3.6,,
38201530,2023/08/01,14,0.002,0.004,0.011,0.015,0.4,0.061,0.16,1.90,2.06,0.016,14,,N,2.7,,
38201530,2023/08/01,15,0.002,0.004,0.010,0.014,0.3,0.055,0.18,1.90,2.08,0.011,21,,NNW,3.2,,
38201530,2023/08/01,16,0.002,0.004,0.008,0.012,0.3,0.048,0.15,1.90,2.05,0.013,25,,SW,1.2,,
38201530,2023/08/01,17,0.004,0.001,0.006,0.007,0.3,0.063,0.13,1.90,2.03,0.024,22,,WSW,1.3,,
38201530,2023/08/01,18,0.003,0.001,0.008,0.009,0.3,0.062,0.12,1.90,2.02,0.015,2,,W,1.4,,
38201530,2023/08/01,19,0.002,0.001,0.007,0.008,0.4,0.058,0.12,1.90,2.02,0.014,-3,,W,1.2,,
38201530,2023/08/01,20,0.004,0.001,0.012,0.013,0.3,0.057,0.13,1.90,2.03,0.019,3,,SW,0.5,,
38201530,2023/08/01,21,0.003,0,0.012,0.012,0.3,0.050,0.14,1.92,2.06,0.021,14,,SW,0.6,,
38201530,2023/08/01,22,0.002,0,0.006,0.006,0.3,0.043,0.14,1.94,2.08,0.011,11,,E,0.9,,
38201530,2023/08/01,23,0.001,0.002,0.007,0.009,0.3,0.024,0.15,1.92,2.07,0.013,10,,ENE,0.7,,
38201530,2023/08/01,24,0.001,0.001,0.004,0.005,0.3,0.015,0.13,1.90,2.03,0.012,7,,E,0.6,,
38201530,2023/08/02,01,0.001,0.001,0.004,0.005,0.2,0.013,0.13,1.90,2.03,0.013,11,,ENE,0.7,,
38201530,2023/08/02,02,-,0.002,0.003,0.005,0.2,0.010,0.11,1.90,2.01,0.013,8,,ENE,0.7,,
38201530,2023/08/02,03,0.001,0.002,0.004,0.006,0.2,0.010,0.12,1.90,2.02,0.013,10,,ENE,0.5,,
38201530,2023/08/02,04,0.001,0.001,0.003,0.004,0.2,0.010,0.11,1.90,2.01,0.015,10,,NNE,0.4,,
38201530,2023/08/02,05,0.001,0.003,0.004,0.007,0.2,0.007,0.12,1.92,2.04,0.018,11,,ENE,0.8,,
38201530,2023/08/02,06,0,0.005,0.005,0.010,0.2,0.007,0.14,1.91,2.05,0.016,10,,ENE,0.9,,
38201530,2023/08/02,07,0.001,0.011,0.006,0.017,0.3,0.006,0.13,1.91,2.04,0.017,15,,E,1.0,,
38201530,2023/08/02,08,0.001,0.011,0.006,0.017,0.4,0.010,0.13,1.89,2.02,0.016,19,,NNW,0.7,,
38201530,2023/08/02,09,0.002,0.020,0.012,0.032,0.4,0.013,0.20,1.91,2.11,0.029,16,,NNW,1.8,,
38201530,2023/08/02,10,0.008,0.012,0.013,0.025,0.3,0.018,0.18,1.90,2.08,0.029,24,,SW,1.1,,
38201530,2023/08/02,11,0.011,0.058,0.069,0.127,0.3,0.021,0.17,1.90,2.07,0.023,24,,NW,1.9,,
38201530,2023/08/02,12,0.007,0.016,0.030,0.046,0.3,0.035,0.16,1.89,2.05,0.022,22,,NW,1.4,,
38201530,2023/08/02,13,0.006,0.003,0.010,0.013,0.4,0.046,0.15,1.89,2.04,0.023,24,,NW,1.7,,
38201530,2023/08/02,14,0.004,0.004,0.007,0.011,0.3,0.054,0.15,1.88,2.03,0.022,20,,W,2.1,,
38201530,2023/08/02,15,0.008,0.002,0.006,0.008,0.2,0.046,0.13,1.88,2.01,0.025,25,,W,1.7,,
38201530,2023/08/02,16,0.008,0.003,0.008,0.011,0.3,0.048,0.14,1.88,2.02,0.026,22,,W,2.1,,
38201530,2023/08/02,17,0.004,0.002,0.006,0.008,0.3,0.045,0.12,1.88,2.00,0.026,16,,W,1.7,,
38201530,2023/08/02,18,0.001,0.001,0.004,0.005,0.3,0.045,0.11,1.88,1.99,0.025,5,,W,1.3,,
38201530,2023/08/02,19,0.002,0.002,0.006,0.008,0.3,0.036,0.12,1.88,2.00,0.013,5,,SSW,0.6,,
38201530,2023/08/02,20,0.009,0.002,0.011,0.013,0.3,0.029,0.12,1.86,1.98,0.021,5,,W,0.8,,
38201530,2023/08/02,21,0.002,0.001,0.010,0.011,0.3,0.022,0.12,1.88,2.00,0.014,10,,E,1.3,,
38201530,2023/08/02,22,0.002,0.001,0.005,0.006,0.2,0.017,0.12,1.88,2.00,0.003,6,,SSE,1.4,,
38201530,2023/08/02,23,0,0,0,0,0.2,0.016,0.09,1.87,1.96,0.006,1,,S,1.8,,
38201530,2023/08/02,24,0,0.002,0.003,0.005,0.2,0.013,0.10,1.88,1.98,0.008,1,,NE,1.7,,
38201530,2023/08/03,01,0.002,0.003,0.010,0.013,0.2,0.010,0.13,1.91,2.04,0.025,5,,N,1.2,,
38201530,2023/08/03,02,0.003,0.002,0.012,0.014,0.2,0.010,0.11,1.89,2.00,0.015,9,,S,0.7,,
38201530,2023/08/03,03,0.002,0.002,0.011,0.013,0.2,0.007,0.11,1.92,2.03,0.014,10,,NW,0.9,,
38201530,2023/08/03,04,0.001,0.003,0.006,0.009,0.2,0.008,0.11,1.90,2.01,0,5,,ENE,1.0,,
38201530,2023/08/03,05,0.001,0.001,0.005,0.006,0.2,0.006,0.11,1.96,2.07,0.013,7,,E,1.3,,
38201530,2023/08/03,06,0.001,0.004,0.008,0.012,0.2,0.004,0.12,1.99,2.11,0.001,7,,ENE,1.3,,
38201530,2023/08/03,07,0,0.009,0.005,0.014,0.3,0.008,0.11,1.90,2.01,0.005,5,,NW,0.6,,
38201530,2023/08/03,08,0.001,0.014,0.008,0.022,0.5,0.011,0.14,1.90,2.04,0.009,9,,N,1.4,,
38201530,2023/08/03,09,0.001,0.014,0.010,0.024,0.4,0.014,0.17,1.89,2.06,0.009,11,,N,1.5,,
38201530,2023/08/03,10,0.001,0.011,0.011,0.022,0.3,0.019,0.16,1.88,2.04,0.011,12,,NNW,1.8,,
38201530,2023/08/03,11,0.001,0.009,0.011,0.020,0.3,0.027,0.19,1.88,2.07,0.012,16,,NW,2.9,,
38201530,2023/08/03,12,0.001,0.004,0.007,0.011,0.3,0.039,0.14,1.88,2.02,0.011,14,,NW,2.6,,
38201530,2023/08/03,13,0.001,0.005,0.009,0.014,0.3,0.046,0.18,1.88,2.06,0.016,15,,WNW,2.5,,
38201530,2023/08/03,14,0.002,0.003,0.008,0.011,0.3,0.049,0.23,1.88,2.11,0.024,19,,W,2.0,,
38201530,2023/08/03,15,0.003,0.001,0.005,0.006,0.3,0.051,0.12,1.88,2.00,0.020,13,,SW,0.9,,
38201530,2023/08/03,16,0.006,0.003,0.008,0.011,0.3,0.039,0.14,1.87,2.01,0.010,15,,W,1.9,,
38201530,2023/08/03,17,0.003,0.003,0.005,0.008,0.3,0.034,0.12,1.87,1.99,0.012,-1,,NW,1.7,,
38201530,2023/08/03,18,0.003,0.003,0.006,0.009,0.3,0.030,0.13,1.87,2.00,0.010,11,,SE,1.0,,
38201530,2023/08/03,19,0,0.001,0.001,0.002,0.2,0.017,0.10,1.87,1.97,0.003,1,,S,2.1,,
38201530,2023/08/03,20,0.001,0.001,0.002,0.003,0.2,0.020,0.11,1.87,1.98,0.003,-6,,S,1.5,,
38201530,2023/08/03,21,0.005,0.001,0.010,0.011,0.2,0.017,0.12,1.87,1.99,0.009,4,,W,0.8,,
38201530,2023/08/03,22,0.002,0.001,0.009,0.010,0.2,0.013,0.12,1.88,2.00,0.005,5,,W,0.8,,
38201530,2023/08/03,23,0.001,0.001,0.004,0.005,0.2,0.013,0.12,1.91,2.03,0.002,1,,NW,0.6,,
38201530,2023/08/03,24,0,0.002,0.004,0.006,0.3,0.010,0.12,1.89,2.01,0.001,1,,E,0.9,,
