測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
38421010,2024/08/01,01,0,,,,,,,,,0.003,3,,SSE,0.5,,
38421010,2024/08/01,02,0,,,,,,,,,0.008,3,,CALM,0.3,,
38421010,2024/08/01,03,0,,,,,,,,,0.012,3,,CALM,0.2,,
38421010,2024/08/01,04,0,,,,,,,,,0.010,4,,CALM,0.2,,
38421010,2024/08/01,05,0,,,,,,,,,0.014,3,,CALM,0.3,,
38421010,2024/08/01,06,0,,,,,,,,,0.017,5,,CALM,0.3,,
38421010,2024/08/01,07,0.001,,,,,,,,,0.006,4,,CALM,0.3,,
38421010,2024/08/01,08,0,,,,,,,,,0.006,5,,CALM,0.1,,
38421010,2024/08/01,09,0,,,,,,,,,0.006,4,,CALM,0.3,,
38421010,2024/08/01,10,0.001,,,,,,,,,0.009,5,,CALM,0.3,,
38421010,2024/08/01,11,0,,,,,,,,,0.008,5,,CALM,0.2,,
38421010,2024/08/01,12,0,,,,,,,,,0.002,4,,CALM,0.3,,
38421010,2024/08/01,13,0,,,,,,,,,0.002,4,,CALM,0.3,,
38421010,2024/08/01,14,0.001,,,,,,,,,0.021,8,,W,0.4,,
38421010,2024/08/01,15,0.001,,,,,,,,,0.004,6,,W,0.4,,
38421010,2024/08/01,16,0.001,,,,,,,,,0.012,9,,WNW,0.4,,
38421010,2024/08/01,17,0.001,,,,,,,,,0.009,9,,CALM,0.1,,
38421010,2024/08/01,18,0,,,,,,,,,0.011,4,,CALM,0,,
38421010,2024/08/01,19,0,,,,,,,,,0.013,5,,CALM,0.2,,
38421010,2024/08/01,20,0,,,,,,,,,0.007,5,,SSE,0.7,,
38421010,2024/08/01,21,0,,,,,,,,,0.007,4,,CALM,0.2,,
38421010,2024/08/01,22,0,,,,,,,,,0.010,5,,CALM,0.1,,
38421010,2024/08/01,23,0.001,,,,,,,,,0.016,4,,SE,0.5,,
38421010,2024/08/01,24,0.001,,,,,,,,,0.011,4,,CALM,0.3,,
38421010,2024/08/02,01,0.001,,,,,,,,,0.010,6,,CALM,0.1,,
38421010,2024/08/02,02,0.001,,,,,,,,,0.010,7,,CALM,0.1,,
38421010,2024/08/02,03,0,,,,,,,,,0.015,6,,CALM,0,,
38421010,2024/08/02,04,0.001,,,,,,,,,0.013,6,,CALM,0,,
38421010,2024/08/02,05,0.001,,,,,,,,,0.007,7,,CALM,0,,
38421010,2024/08/02,06,0.001,,,,,,,,,0.007,6,,CALM,0.1,,
38421010,2024/08/02,07,0.001,,,,,,,,,0.011,5,,CALM,0,,
38421010,2024/08/02,08,0.001,,,,,,,,,0.011,5,,CALM,0,,
38421010,2024/08/02,09,0.001,,,,,,,,,0.018,6,,CALM,0.2,,
38421010,2024/08/02,10,0.001,,,,,,,,,0.008,7,,NW,0.4,,
38421010,2024/08/02,11,0.001,,,,,,,,,0.014,7,,CALM,0.3,,
38421010,2024/08/02,12,0.001,,,,,,,,,0.007,5,,CALM,0.3,,
38421010,2024/08/02,13,0.001,,,,,,,,,0.004,9,,WNW,0.4,,
38421010,2024/08/02,14,0.001,,,,,,,,,0.009,7,,WNW,0.4,,
38421010,2024/08/02,15,0.001,,,,,,,,,0.005,9,,NW,0.4,,
38421010,2024/08/02,16,0,,,,,,,,,0.008,9,,W,0.4,,
38421010,2024/08/02,17,0,,,,,,,,,0.004,8,,CALM,0.3,,
38421010,2024/08/02,18,0,,,,,,,,,0.009,9,,CALM,0,,
38421010,2024/08/02,19,0,,,,,,,,,0.016,9,,CALM,0.1,,
38421010,2024/08/02,20,0,,,,,,,,,0.005,8,,SSE,0.6,,
38421010,2024/08/02,21,0,,,,,,,,,0.011,9,,CALM,0,,
38421010,2024/08/02,22,0,,,,,,,,,0.008,9,,CALM,0,,
38421010,2024/08/02,23,0.001,,,,,,,,,0.012,11,,CALM,0.1,,
38421010,2024/08/02,24,0.002,,,,,,,,,0.023,17,,CALM,0.1,,
38421010,2024/08/03,01,0.002,,,,,,,,,0.025,21,,SSE,0.7,,
38421010,2024/08/03,02,0.003,,,,,,,,,0.034,22,,SE,0.7,,
38421010,2024/08/03,03,0.002,,,,,,,,,0.029,18,,CALM,0.2,,
38421010,2024/08/03,04,0.001,,,,,,,,,0.028,13,,CALM,0,,
38421010,2024/08/03,05,0.001,,,,,,,,,0.023,14,,CALM,0,,
38421010,2024/08/03,06,0.001,,,,,,,,,0.027,15,,CALM,0,,
38421010,2024/08/03,07,0.001,,,,,,,,,0.032,13,,CALM,0,,
38421010,2024/08/03,08,0.001,,,,,,,,,0.012,9,,CALM,0,,
38421010,2024/08/03,09,0.001,,,,,,,,,0.018,12,,CALM,0.2,,
38421010,2024/08/03,10,0.001,,,,,,,,,0.023,13,,CALM,0.2,,
38421010,2024/08/03,11,0.001,,,,,,,,,0.017,12,,CALM,0.3,,
38421010,2024/08/03,12,0.001,,,,,,,,,0.013,11,,CALM,0.3,,
38421010,2024/08/03,13,0.001,,,,,,,,,0.011,12,,W,0.4,,
38421010,2024/08/03,14,0.001,,,,,,,,,0.011,10,,W,0.4,,
38421010,2024/08/03,15,0.001,,,,,,,,,0.016,11,,W,0.4,,
38421010,2024/08/03,16,0.001,,,,,,,,,0.009,10,,CALM,0.3,,
38421010,2024/08/03,17,0,,,,,,,,,0.008,9,,W,0.4,,
38421010,2024/08/03,18,0.001,,,,,,,,,0.015,10,,CALM,0.3,,
38421010,2024/08/03,19,0,,,,,,,,,0.020,8,,CALM,0,,
38421010,2024/08/03,20,0,,,,,,,,,0.007,11,,CALM,0.1,,
38421010,2024/08/03,21,0.001,,,,,,,,,0.020,14,,CALM,0.1,,
38421010,2024/08/03,22,0.002,,,,,,,,,0.033,22,,CALM,0.1,,
38421010,2024/08/03,23,0.003,,,,,,,,,0.034,23,,CALM,0.1,,
38421010,2024/08/03,24,0.002,,,,,,,,,0.029,22,,CALM,0,,
38421010,2024/08/04,01,0.001,,,,,,,,,0.032,19,,CALM,0,,
38421010,2024/08/04,02,0.001,,,,,,,,,0.027,17,,CALM,0,,
38421010,2024/08/04,03,0.001,,,,,,,,,0.033,18,,CALM,0,,
38421010,2024/08/04,04,0,,,,,,,,,0.037,19,,CALM,0,,
38421010,2024/08/04,05,0,,,,,,,,,0.039,19,,CALM,0,,
38421010,2024/08/04,06,0,,,,,,,,,0.026,19,,CALM,0,,
38421010,2024/08/04,07,0,,,,,,,,,0.042,18,,CALM,0,,
38421010,2024/08/04,08,0.001,,,,,,,,,0.043,21,,CALM,0,,
38421010,2024/08/04,09,0.001,,,,,,,,,0.043,21,,CALM,0.2,,
38421010,2024/08/04,10,0.002,,,,,,,,,0.029,21,,CALM,0.2,,
38421010,2024/08/04,11,0.001,,,,,,,,,0.033,22,,CALM,0.2,,
38421010,2024/08/04,12,0.001,,,,,,,,,0.038,23,,NW,0.4,,
38421010,2024/08/04,13,0.001,,,,,,,,,0.041,-,,NW,0.4,,
38421010,2024/08/04,14,0.001,,,,,,,,,0.039,26,,CALM,0.3,,
38421010,2024/08/04,15,0.001,,,,,,,,,0.035,26,,CALM,0.3,,
38421010,2024/08/04,16,0.001,,,,,,,,,0.054,28,,CALM,0.2,,
38421010,2024/08/04,17,0.001,,,,,,,,,0.026,23,,CALM,0,,
38421010,2024/08/04,18,0,,,,,,,,,0.032,18,,CALM,0,,
38421010,2024/08/04,19,0,,,,,,,,,0.012,19,,CALM,0.1,,
38421010,2024/08/04,20,0,,,,,,,,,0.024,17,,CALM,0.2,,
38421010,2024/08/04,21,0,,,,,,,,,0.019,17,,SE,0.6,,
38421010,2024/08/04,22,0,,,,,,,,,0.021,15,,CALM,0.1,,
38421010,2024/08/04,23,0,,,,,,,,,0.025,15,,CALM,0,,
38421010,2024/08/04,24,0,,,,,,,,,0.028,16,,CALM,0.1,,
38421010,2024/08/05,01,0,,,,,,,,,0.020,15,,CALM,0,,
38421010,2024/08/05,02,-,,,,,,,,,0.028,15,,CALM,0,,
38421010,2024/08/05,03,0,,,,,,,,,0.033,17,,CALM,0,,
38421010,2024/08/05,04,0,,,,,,,,,0.031,17,,CALM,0,,
38421010,2024/08/05,05,0,,,,,,,,,0.031,15,,CALM,0,,
38421010,2024/08/05,06,0,,,,,,,,,0.038,16,,CALM,0.1,,
38421010,2024/08/05,07,0,,,,,,,,,0.033,17,,CALM,0.1,,
38421010,2024/08/05,08,0,,,,,,,,,0.030,20,,CALM,0.1,,
38421010,2024/08/05,09,0,,,,,,,,,0.047,18,,CALM,0.2,,
38421010,2024/08/05,10,0.001,,,,,,,,,0.026,20,,NE,0.4,,
38421010,2024/08/05,11,0.002,,,,,,,,,0.028,22,,CALM,0.3,,
