測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
38208030,2025/01/01,01,0,0,0.002,0.002,,0.043,0.02,2.03,2.05,0.011,7,,NNW,1.0,,
38208030,2025/01/01,02,0,0,0.001,0.001,,0.044,0.01,2.03,2.04,0.012,8,,N,0.8,,
38208030,2025/01/01,03,0,0,0.002,0.002,,0.038,0.02,2.03,2.05,0.021,7,,ENE,0.7,,
38208030,2025/01/01,04,0,0,0.003,0.003,,0.029,0.05,2.05,2.10,0.018,8,,ENE,1.0,,
38208030,2025/01/01,05,0.001,0.001,0.004,0.005,,0.028,0.01,2.02,2.03,0.011,5,,NNE,0.7,,
38208030,2025/01/01,06,0,0.001,0.003,0.004,,0.025,0.03,2.03,2.06,0.013,5,,NW,0.8,,
38208030,2025/01/01,07,0,0,0.003,0.003,,0.023,0.03,2.04,2.07,0.013,8,,SW,0.5,,
38208030,2025/01/01,08,0.001,0,0.004,0.004,,0.021,0.04,2.02,2.06,0.017,9,,SW,0.5,,
38208030,2025/01/01,09,0.001,0.001,0.004,0.005,,0.021,0.05,2.02,2.07,0.013,5,,W,0.4,,
38208030,2025/01/01,10,0.001,0.001,0.003,0.004,,0.034,0.04,2.03,2.07,0.015,2,,S,1.4,,
38208030,2025/01/01,11,0.001,0,0.001,0.001,,0.045,0.04,2.02,2.06,0.014,4,,SW,1.4,,
38208030,2025/01/01,12,0.001,0.001,0.005,0.006,,0.043,0.03,2.03,2.06,0.013,7,,SW,1.4,,
38208030,2025/01/01,13,0.002,0.003,0.008,0.011,,0.042,0.04,2.04,2.08,0.013,10,,NW,1.2,,
38208030,2025/01/01,14,0.001,0,0.002,0.002,,0.048,0.02,2.04,2.06,0.016,7,,NNW,1.1,,
38208030,2025/01/01,15,0.001,0.002,0.008,0.010,,0.042,0.03,2.03,2.06,0.025,8,,SSW,1.4,,
38208030,2025/01/01,16,0.001,0.001,0.006,0.007,,0.046,0.04,2.04,2.08,0.014,10,,SSW,1.3,,
38208030,2025/01/01,17,0.001,0,0.003,0.003,,0.045,0.04,2.03,2.07,0.018,8,,SE,1.8,,
38208030,2025/01/01,18,0.001,0,0.004,0.004,,0.036,0.03,2.05,2.08,0.012,9,,W,0.9,,
38208030,2025/01/01,19,0.001,0,0.005,0.005,,0.030,0.02,2.04,2.06,0.015,6,,W,1.0,,
38208030,2025/01/01,20,0.001,0,0.005,0.005,,0.027,0.05,2.03,2.08,0.012,6,,W,0.9,,
38208030,2025/01/01,21,0.001,0,0.005,0.005,,0.027,0.02,2.03,2.05,0.011,8,,W,1.1,,
38208030,2025/01/01,22,0,0,0.005,0.005,,0.025,0.04,2.02,2.06,0.020,9,,W,0.9,,
38208030,2025/01/01,23,0,0,0.005,0.005,,0.025,0.05,2.02,2.07,0.014,7,,W,0.6,,
38208030,2025/01/01,24,0,0,0.004,0.004,,0.024,0.05,2.02,2.07,0.016,6,,WSW,0.6,,
38208030,2025/01/02,01,0,0,0.004,0.004,,0.022,0.05,2.03,2.08,0.014,7,,WNW,0.7,,
38208030,2025/01/02,02,0.001,0,0.003,0.003,,0.023,0.07,2.03,2.10,0.019,5,,WSW,0.6,,
