測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
38201020,2024/04/01,01,0,0,0.002,0.002,,0.041,0.10,1.99,2.09,0,5,,CALM,0.2,,
38201020,2024/04/01,03,0,0,0.002,0.002,,0.035,0.09,1.99,2.08,0,7,,SE,1.0,,
38201020,2024/04/01,04,0,0,0.003,0.003,,0.031,0.08,2.01,2.09,0.004,5,,E,0.5,,
38201020,2024/04/01,05,0,0,0.003,0.003,,0.026,0.11,2.00,2.11,0.019,4,,WSW,0.5,,
38201020,2024/04/01,06,0,0,0.007,0.007,,0.030,0.12,2.00,2.12,0,7,,SSW,1.1,,
38201020,2024/04/01,07,0,0,0.008,0.008,,0.030,0.10,2.02,2.12,0.006,11,,SW,1.0,,
38201020,2024/04/01,08,0,0.004,0.018,0.022,,0.017,0.13,2.04,2.17,0.033,17,,WSW,2.3,,
38201020,2024/04/01,09,0.001,0.004,0.013,0.017,,0.024,0.11,2.04,2.15,0.012,16,,WSW,2.9,,
38201020,2024/04/01,10,0.001,0.002,0.009,0.011,,0.045,0.11,2.06,2.17,0.028,16,,WSW,3.0,,
38201020,2024/04/01,11,0.001,0.002,0.007,0.009,,0.049,0.12,2.06,2.18,0.021,15,,WSW,2.3,,
38201020,2024/04/01,12,0.001,0.001,0.006,0.007,,0.052,0.13,2.06,2.19,0.041,15,,SW,3.3,,
38201020,2024/04/01,13,0.001,0.001,0.007,0.008,,0.056,0.12,2.05,2.17,0.021,15,,WSW,2.7,,
38201020,2024/04/01,14,0.002,0.002,0.013,0.015,,0.054,0.12,2.05,2.17,0.049,16,,WSW,2.6,,
38201020,2024/04/01,15,0.002,0.001,0.010,0.011,,0.062,0.12,2.04,2.16,0.008,14,,WSW,2.9,,
38201020,2024/04/01,16,0.002,0.001,0.010,0.011,,0.064,0.15,2.06,2.21,0.013,11,,WSW,2.5,,
38201020,2024/04/01,17,0.002,0.001,0.010,0.011,,0.062,0.11,2.04,2.15,0.013,11,,WSW,2.1,,
38201020,2024/04/01,18,0.003,0.001,0.018,0.019,,0.053,0.12,2.03,2.15,0.020,11,,WSW,1.5,,
38201020,2024/04/01,19,0.001,0,0.007,0.007,,0.058,0.11,2.03,2.14,0.027,11,,CALM,0.3,,
38201020,2024/04/01,20,0.001,0,0.007,0.007,,0.051,0.12,2.04,2.16,0.014,8,,ESE,1.8,,
38201020,2024/04/01,21,0,0,0.006,0.006,,0.042,0.12,2.05,2.17,0.037,10,,E,2.2,,
38201020,2024/04/01,22,0,0,0.005,0.005,,0.040,0.11,2.03,2.14,0.017,7,,E,2.8,,
38201020,2024/04/01,23,0,0,0.004,0.004,,0.039,0.10,2.04,2.14,0.013,8,,E,3.4,,
38201020,2024/04/01,24,0,0,0.004,0.004,,0.038,0.07,2.04,2.11,0,7,,E,3.0,,
38201020,2024/04/02,01,0,0,0.003,0.003,,0.039,0.08,2.04,2.12,0.001,4,,E,2.2,,
38201020,2024/04/02,02,0,0,0.003,0.003,,0.037,0.08,2.03,2.11,0.014,5,,ENE,1.3,,
38201020,2024/04/02,03,0,0,0.003,0.003,,0.035,0.07,2.05,2.12,0.004,2,,NE,0.6,,
38201020,2024/04/02,04,0,0,0.003,0.003,,0.035,0.07,2.04,2.11,0,5,,E,1.2,,
38201020,2024/04/02,05,0,0,0.004,0.004,,0.033,0.08,2.04,2.12,0,5,,ENE,1.1,,
38201020,2024/04/02,06,0,0,0.005,0.005,,0.032,0.07,2.04,2.11,0,4,,ENE,2.1,,
38201020,2024/04/02,07,0,0,0.007,0.007,,0.030,0.07,2.03,2.10,0.001,3,,ENE,2.3,,
38201020,2024/04/02,08,0,0.002,0.009,0.011,,0.029,0.10,2.04,2.14,0.021,7,,ENE,3.0,,
38201020,2024/04/02,09,0,0.008,0.015,0.023,,0.027,0.18,2.05,2.23,0,8,,NNE,0.8,,
38201020,2024/04/02,10,0.001,0.004,0.013,0.017,,0.032,0.17,2.05,2.22,0,7,,WNW,0.5,,
38201020,2024/04/02,11,0.004,0.011,0.025,0.036,,0.022,0.23,2.06,2.29,0.016,13,,W,2.3,,
38201020,2024/04/02,12,0.006,0.015,0.031,0.046,,0.017,0.28,2.06,2.34,0.037,13,,W,1.7,,
38201020,2024/04/02,13,0.004,0.010,0.025,0.035,,0.022,0.24,2.05,2.29,0.021,12,,NNE,1.2,,
38201020,2024/04/02,14,0.002,0.005,0.020,0.025,,0.029,0.17,2.04,2.21,0.011,11,,NNE,1.4,,
38201020,2024/04/02,15,0.002,0.001,0.009,0.010,,0.048,0.13,2.04,2.17,0.024,10,,NNW,0.7,,
38201020,2024/04/02,16,0.002,0.001,0.007,0.008,,0.052,0.16,2.04,2.20,0,12,,NNE,1.1,,
38201020,2024/04/02,17,0.002,0.001,0.007,0.008,,0.056,0.14,2.03,2.17,0.007,11,,N,1.0,,
38201020,2024/04/02,18,0.001,0,0.006,0.006,,0.060,0.14,2.04,2.18,0.010,11,,NW,0.7,,
38201020,2024/04/02,19,0.002,0,0.011,0.011,,0.054,0.14,2.04,2.18,0.046,10,,CALM,0.3,,
38201020,2024/04/02,20,0.002,0,0.032,0.032,,0.027,0.25,2.04,2.29,0.004,14,,CALM,0.2,,
38201020,2024/04/02,21,0.002,0,0.030,0.030,,0.020,0.31,2.07,2.38,0.010,15,,WSW,0.4,,
38201020,2024/04/02,22,0.002,0.001,0.029,0.030,,0.021,0.25,2.07,2.32,0.018,15,,NNE,0.7,,
38201020,2024/04/02,23,0.002,0,0.034,0.034,,0.014,0.31,2.08,2.39,0.019,14,,NW,0.7,,
38201020,2024/04/02,24,0.001,0.001,0.034,0.035,,0.014,0.28,2.08,2.36,0,14,,WSW,0.5,,
38201020,2024/04/03,01,0.001,0.019,0.050,0.069,,0.001,0.22,2.05,2.27,0.031,16,,NE,2.3,,
38201020,2024/04/03,02,0.001,0.006,0.044,0.050,,0.003,0.19,2.07,2.26,0,17,,CALM,0.2,,
38201020,2024/04/03,03,0,0.001,0.043,0.044,,0.004,0.16,2.06,2.22,0.025,16,,NE,1.8,,
38201020,2024/04/03,04,0,0.001,0.038,0.039,,0.008,0.12,2.09,2.21,0.018,14,,NNE,2.2,,
38201020,2024/04/03,05,0,0,0.017,0.017,,0.027,0.11,2.05,2.16,0.002,11,,WNW,1.4,,
38201020,2024/04/03,06,0,0,0.007,0.007,,0.035,0.09,2.03,2.12,0.008,13,,NNE,1.6,,
38201020,2024/04/03,07,0,0,0.011,0.011,,0.026,0.10,2.06,2.16,0.004,10,,NE,1.6,,
38201020,2024/04/03,08,0,0,0.009,0.009,,0.032,0.14,2.06,2.20,0.017,7,,N,1.6,,
38201020,2024/04/03,09,0,0.003,0.014,0.017,,0.026,0.12,2.05,2.17,0,6,,N,1.3,,
38201020,2024/04/03,10,0,0.001,0.011,0.012,,0.028,0.13,2.04,2.17,0,6,,W,0.7,,
38201020,2024/04/03,11,0,0.001,0.011,0.012,,0.032,0.14,2.03,2.17,0.022,6,,WSW,0.4,,
38201020,2024/04/03,12,0,0.003,0.013,0.016,,0.030,0.17,2.05,2.22,0.007,7,,WNW,1.0,,
38201020,2024/04/03,13,0,0.001,0.014,0.015,,0.029,0.16,2.03,2.19,0.014,8,,NNW,0.9,,
38201020,2024/04/03,14,0,0.001,0.012,0.013,,0.032,0.11,2.04,2.15,0.024,5,,E,2.7,,
38201020,2024/04/03,15,0,0.002,0.013,0.015,,0.030,0.13,2.03,2.16,0.002,6,,NNE,1.3,,
38201020,2024/04/03,16,0,0.003,0.016,0.019,,0.028,0.17,2.03,2.20,0.019,8,,NNE,1.4,,
38201020,2024/04/03,17,0,0.002,0.015,0.017,,0.029,0.14,2.02,2.16,0.006,8,,NNW,1.0,,
38201020,2024/04/03,18,0,0.001,0.015,0.016,,0.031,0.13,2.01,2.14,0.002,4,,N,1.3,,
38201020,2024/04/03,19,0,0,0.017,0.017,,0.028,0.14,2.04,2.18,0.005,7,,NNE,1.1,,
38201020,2024/04/03,20,0,0,0.014,0.014,,0.030,0.13,2.02,2.15,0.022,5,,S,1.4,,
38201020,2024/04/03,21,0,0,0.015,0.015,,0.025,0.16,2.02,2.18,0,5,,CALM,0.3,,
38201020,2024/04/03,22,0,0,0.015,0.015,,0.020,0.19,2.04,2.23,0.002,5,,SW,1.6,,
38201020,2024/04/03,23,0,0.001,0.014,0.015,,0.020,0.11,2.01,2.12,0.014,6,,SW,2.3,,
38201020,2024/04/03,24,0,0.001,0.019,0.020,,0.018,0.10,2.01,2.11,0,2,,WSW,0.8,,
38201020,2024/04/04,01,0,0,0.009,0.009,,0.031,0.06,2.01,2.07,0,2,,WSW,1.4,,
38201020,2024/04/04,02,0,0,0.016,0.016,,0.023,0.07,2.01,2.08,0,3,,WSW,1.5,,
38201020,2024/04/04,03,0,0,0.009,0.009,,0.030,0.08,2.02,2.10,0,1,,W,1.4,,
