測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
38209050,2023/07/01,01,0.001,0,0.003,0.003,,0.009,,,,0.005,12,,E,0.7,,
38209050,2023/07/01,02,-,0,0.003,0.003,,0.006,,,,0.007,7,,E,1.2,,
38209050,2023/07/01,03,0.001,0,0.003,0.003,,0.017,,,,0.013,-1,,SE,0.7,,
38209050,2023/07/01,04,0.001,0,0.002,0.002,,0.032,,,,0.004,-6,,S,1.1,,
38209050,2023/07/01,05,0.001,0,0.001,0.001,,0.057,,,,0.005,-3,,ESE,1.2,,
38209050,2023/07/01,06,0.001,0,0.002,0.002,,0.041,,,,0.004,1,,ESE,0.8,,
38209050,2023/07/01,07,0,0,0.003,0.003,,0.045,,,,0.005,1,,CALM,0.2,,
38209050,2023/07/01,08,0,0,0.005,0.005,,0.041,,,,0.005,6,,WNW,0.8,,
38209050,2023/07/01,09,0.001,0.001,0.017,0.018,,0.030,,,,0.013,6,,NE,2.3,,
38209050,2023/07/01,10,0.001,0.001,0.009,0.010,,0.043,,,,0.014,22,,ESE,0.4,,
38209050,2023/07/01,11,0.001,0,0.009,0.009,,0.032,,,,0.010,4,,ESE,0.7,,
38209050,2023/07/01,12,0.001,0.001,0.009,0.010,,0.035,,,,0.011,10,,WNW,0.8,,
38209050,2023/07/01,13,0.001,0.001,0.006,0.007,,0.041,,,,0.014,16,,ENE,0.8,,
38209050,2023/07/01,14,0.001,0.001,0.008,0.009,,0.043,,,,0.020,13,,NNW,0.7,,
38209050,2023/07/01,15,0.002,0.001,0.008,0.009,,0.049,,,,0.016,13,,CALM,0.1,,
38209050,2023/07/01,16,0.002,0.001,0.009,0.010,,0.046,,,,0.016,5,,WNW,0.8,,
38209050,2023/07/01,17,0.001,0.001,0.010,0.011,,0.040,,,,0.018,8,,NNE,1.8,,
38209050,2023/07/01,18,0.001,0,0.006,0.006,,0.046,,,,0.015,5,,SW,1.5,,
38209050,2023/07/01,19,0.001,0,0.006,0.006,,0.042,,,,0.014,15,,W,0.4,,
38209050,2023/07/01,20,0.001,0,0.007,0.007,,0.024,,,,0.016,6,,SW,0.8,,
38209050,2023/07/01,21,0.001,0,0.006,0.006,,0.017,,,,0.013,5,,CALM,0.2,,
38209050,2023/07/01,22,0.001,0,0.003,0.003,,0.024,,,,0.009,0,,CALM,0.1,,
38209050,2023/07/01,23,0.001,0,0.004,0.004,,0.019,,,,0.011,24,,SSE,0.4,,
38209050,2023/07/01,24,0.001,0,0.004,0.004,,0.015,,,,0.015,6,,E,0.4,,
38209050,2023/07/02,01,0.001,0,0.004,0.004,,0.012,,,,0.015,0,,CALM,0.3,,
38209050,2023/07/02,02,0.001,0,0.004,0.004,,0.013,,,,0.016,28,,CALM,0.3,,
38209050,2023/07/02,03,0.001,0,0.004,0.004,,0.011,,,,0.017,3,,WSW,0.9,,
38209050,2023/07/02,04,0.001,0,0.004,0.004,,0.011,,,,0.018,-3,,ESE,0.4,,
38209050,2023/07/02,05,0.001,0,0.004,0.004,,0.012,,,,0.013,3,,ESE,0.9,,
38209050,2023/07/02,06,0.001,0,0.004,0.004,,0.015,,,,0.012,4,,E,0.8,,
38209050,2023/07/02,07,0.001,0,0.002,0.002,,0.018,,,,0.011,9,,W,1.4,,
