測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
27214020,2025/07/01,01,0.001,0,0.007,0.007,,0.017,0.11,2.10,2.21,0.030,16,,SSW,0.5,26.2,82.0
27214020,2025/07/01,02,0.001,0,0.008,0.008,,0.015,0.11,2.09,2.20,0.030,14,,S,0.5,25.4,85.0
27214020,2025/07/01,03,0.001,0,0.007,0.007,,0.013,0.10,2.11,2.21,0.030,15,,SSW,0.9,25.4,86.0
27214020,2025/07/01,04,0.001,0,0.007,0.007,,0.012,0.10,2.10,2.20,0.029,17,,SSW,1.1,24.7,87.0
27214020,2025/07/01,05,0.001,0,0.006,0.006,,0.013,0.10,2.09,2.19,0.027,16,,SSE,1.0,24.3,86.0
27214020,2025/07/01,06,0.001,0.001,0.006,0.007,,0.015,0.09,2.07,2.16,0.029,16,,SSE,0.6,25.1,75.0
27214020,2025/07/01,07,0.001,0.001,0.005,0.006,,0.020,0.09,2.08,2.17,0.028,19,,S,1.1,27.5,64.0
27214020,2025/07/01,08,0.001,0.001,0.007,0.008,,0.029,0.16,2.05,2.21,0.030,22,,SE,1.2,29.2,60.0
27214020,2025/07/01,09,0.001,0.003,0.010,0.013,,0.038,0.17,2.07,2.24,0.033,21,,N,1.2,29.9,61.0
27214020,2025/07/01,10,0.001,0.002,0.012,0.014,,0.061,0.18,2.08,2.26,0.035,22,,NNE,1.7,30.8,60.0
27214020,2025/07/01,11,0.002,0.001,0.013,0.014,,0.098,0.24,2.07,2.31,0.036,22,,WSW,2.3,32.9,49.0
27214020,2025/07/01,12,-,-,-,-,,-,-,-,-,-,23,,WNW,3.1,32.6,52.0
27214020,2025/07/01,13,0.001,0.001,0.006,0.007,,0.069,0.11,2.00,2.11,0.033,-,,WSW,3.5,34.2,48.0
27214020,2025/07/01,14,0.001,0.001,0.006,0.007,,0.065,0.10,1.99,2.09,0.032,22,,WNW,2.9,33.4,48.0
27214020,2025/07/01,15,0.001,0.001,0.004,0.005,,0.065,0.10,1.99,2.09,0.029,18,,SW,2.1,34.6,41.0
27214020,2025/07/01,16,0.001,0.001,0.004,0.005,,0.067,0.10,1.99,2.09,0.033,22,,WNW,1.9,35.6,42.0
27214020,2025/07/01,17,0.001,0.001,0.007,0.008,,0.066,0.11,2.00,2.11,0.028,16,,WSW,2.9,33.9,42.0
