測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
27201090,2025/02/01,01,0,0,0.006,0.006,,0.029,,,,0.029,33,,SE,1.9,2.0,80.0
27201090,2025/02/01,02,0.001,0,0.005,0.005,,0.029,,,,0.033,30,,SE,1.7,2.1,81.0
27201090,2025/02/01,03,0.001,0,0.006,0.006,,0.031,,,,0.031,29,,SE,2.0,1.9,80.0
27201090,2025/02/01,04,0.001,0,0.005,0.005,,0.031,,,,0.032,30,,SE,2.2,1.3,83.0
27201090,2025/02/01,05,0.001,0,0.006,0.006,,0.031,,,,0.035,31,,SE,1.7,1.8,78.0
27201090,2025/02/01,06,0.001,0,0.007,0.007,,0.029,,,,0.035,31,,SSE,1.3,2.4,76.0
27201090,2025/02/01,07,0.001,0,0.009,0.009,,0.029,,,,0.034,31,,SE,1.3,3.1,75.0
27201090,2025/02/01,08,0,0.001,0.015,0.016,,0.024,,,,0.032,33,,SSE,1.6,2.3,78.0
27201090,2025/02/01,09,0.001,0.001,0.010,0.011,,0.027,,,,0.032,26,,SE,0.8,5.8,66.0
27201090,2025/02/01,10,0.002,0.001,0.012,0.013,,0.038,,,,0.046,40,,NE,0.8,7.5,57.0
27201090,2025/02/01,11,0.001,0.001,0.008,0.009,,0.046,,,,0.028,27,,ESE,1.2,9.3,50.0
27201090,2025/02/01,12,0.001,0,0.005,0.005,,0.050,,,,0.021,23,,N,1.6,9.5,52.0
27201090,2025/02/01,13,0.001,0,0.005,0.005,,0.049,,,,0.020,22,,NE,1.1,9.5,51.0
27201090,2025/02/01,14,0.001,0,0.006,0.006,,0.048,,,,0.020,22,,NNE,1.7,9.6,52.0
27201090,2025/02/01,15,0,0,0.006,0.006,,0.047,,,,0.019,20,,NNE,1.9,9.8,53.0
27201090,2025/02/01,16,0.001,0,0.012,0.012,,0.043,,,,0.027,28,,NNW,1.2,9.3,55.0
27201090,2025/02/01,17,0.001,0,0.012,0.012,,0.042,,,,0.027,30,,SW,1.1,7.9,68.0
27201090,2025/02/01,18,0.001,0,0.007,0.007,,0.043,,,,0.022,26,,SSE,0.6,6.3,89.0
27201090,2025/02/01,19,0.001,0,0.008,0.008,,0.036,,,,0.022,24,,SE,1.8,5.2,96.0
27201090,2025/02/01,20,0.001,0,0.006,0.006,,0.037,,,,0.019,18,,ESE,1.0,5.0,96.0
27201090,2025/02/01,21,0.001,0,0.006,0.006,,0.038,,,,0.017,15,,NE,2.3,4.8,96.0
27201090,2025/02/01,22,0,0,0.004,0.004,,0.039,,,,0.017,16,,NE,1.8,4.7,97.0
27201090,2025/02/01,23,0,0,0.005,0.005,,0.036,,,,0.021,18,,ENE,1.7,4.5,98.0
27201090,2025/02/01,24,-,-,-,-,,0.035,,,,0.018,17,,NE,2.5,4.7,98.0
27201090,2025/02/02,01,0.001,0,0.004,0.004,,0.035,,,,0.013,13,,NE,2.0,4.4,98.0
27201090,2025/02/02,02,0.001,0,0.003,0.003,,0.036,,,,0.008,8,,NE,2.9,4.4,98.0
27201090,2025/02/02,03,0,0,0.002,0.002,,0.039,,,,0.005,4,,NE,2.6,4.4,97.0
27201090,2025/02/02,04,0,0,0.002,0.002,,0.039,,,,0.006,5,,NE,2.5,4.5,97.0
27201090,2025/02/02,05,0.001,0,0.002,0.002,,0.038,,,,0.006,7,,NE,1.9,4.6,96.0
27201090,2025/02/02,06,0.001,0,0.003,0.003,,0.035,,,,0.007,8,,NE,1.8,4.3,97.0
27201090,2025/02/02,07,0,0,0.003,0.003,,0.035,,,,0.009,7,,NE,2.3,4.5,97.0
27201090,2025/02/02,08,0,0,0.004,0.004,,0.034,,,,0.009,8,,NE,2.3,4.8,97.0
27201090,2025/02/02,09,0.001,0,0.004,0.004,,0.033,,,,0.005,5,,NE,1.3,5.7,95.0
27201090,2025/02/02,10,0,0,0.007,0.007,,0.032,,,,0.010,8,,ENE,1.9,6.5,90.0
27201090,2025/02/02,11,0,0,0.004,0.004,,0.037,,,,0.006,5,,NE,1.5,7.2,85.0
27201090,2025/02/02,12,0,0,0.003,0.003,,0.040,,,,0.004,4,,ENE,4.2,8.4,77.0
27201090,2025/02/02,13,0,0,0.002,0.002,,0.041,,,,0.003,4,,ENE,3.7,9.4,78.0
27201090,2025/02/02,14,0.001,0,0.002,0.002,,0.042,,,,0.005,5,,N,1.4,9.7,75.0
27201090,2025/02/02,15,0.001,0,0.003,0.003,,0.041,,,,0.004,5,,N,1.9,9.5,75.0
27201090,2025/02/02,16,0.001,0,0.005,0.005,,0.041,,,,0.006,5,,NE,1.5,9.8,73.0
27201090,2025/02/02,17,0,0,0.005,0.005,,0.040,,,,0.006,6,,ESE,1.1,9.3,80.0
27201090,2025/02/02,18,0,0,0.004,0.004,,0.030,,,,0.006,7,,S,0.5,8.8,86.0
27201090,2025/02/02,19,0,0,0.004,0.004,,0.025,,,,0.008,7,,SE,0.8,8.4,90.0
27201090,2025/02/02,20,0,0,0.005,0.005,,0.020,,,,0.008,7,,SE,1.2,8.1,93.0
27201090,2025/02/02,21,0.001,0,0.005,0.005,,0.018,,,,0.007,6,,S,0.9,7.7,94.0
27201090,2025/02/02,22,0,0,0.007,0.007,,0.015,,,,0.006,6,,W,0.9,7.6,93.0
27201090,2025/02/02,23,0,0,0.005,0.005,,0.014,,,,0.006,5,,SSE,1.1,7.2,96.0
27201090,2025/02/02,24,0,0,0.004,0.004,,0.016,,,,0.005,5,,CALM,0.4,7.0,95.0
27201090,2025/02/03,01,0.001,0,0.005,0.005,,0.012,,,,0.005,7,,SSW,0.8,6.0,97.0
27201090,2025/02/03,02,0,0,0.003,0.003,,0.012,,,,0.007,5,,WNW,0.9,6.6,97.0
27201090,2025/02/03,03,0.001,0,0.004,0.004,,0.010,,,,0.007,5,,SSE,1.2,6.6,97.0
27201090,2025/02/03,04,0,0,0.006,0.006,,0.013,,,,0.009,6,,SW,1.4,7.0,94.0
27201090,2025/02/03,05,0.001,0,0.006,0.006,,0.027,,,,0.004,5,,WSW,1.5,6.9,82.0
