測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
27210010,2025/01/01,01,0.002,0,0.002,0.002,,0.038,0.04,2.07,2.11,0.010,,,WNW,1.7,,
27210010,2025/01/01,02,0.002,0,0.005,0.005,,0.033,0.06,2.08,2.14,0.010,,,WSW,1.9,,
27210010,2025/01/01,03,0.002,0,0.006,0.006,,0.030,0.08,2.10,2.18,0.010,,,WSW,1.4,,
27210010,2025/01/01,04,0.002,0,0.007,0.007,,0.027,0.07,2.10,2.17,0.011,,,W,1.6,,
27210010,2025/01/01,05,0.002,0,0.006,0.006,,0.026,0.07,2.11,2.18,0.012,,,WSW,1.5,,
27210010,2025/01/01,06,0.002,0,0.007,0.007,,0.024,0.07,2.09,2.16,0.010,,,WSW,1.7,,
27210010,2025/01/01,07,0.002,0,0.007,0.007,,0.027,0.06,2.08,2.14,0.011,,,WSW,1.6,,
27210010,2025/01/01,08,0.002,0,0.006,0.006,,0.030,0.05,2.07,2.12,0.011,,,WSW,1.3,,
27210010,2025/01/01,09,0.002,0.001,0.007,0.008,,0.029,0.05,2.07,2.12,0.010,,,SSW,1.5,,
27210010,2025/01/01,10,0.003,0.003,0.007,0.010,,0.031,0.07,2.09,2.16,0.010,,,SSW,3.1,,
27210010,2025/01/01,11,0.004,0.003,0.009,0.012,,0.033,0.06,2.09,2.15,0.011,,,SW,3.2,,
27210010,2025/01/01,12,0.003,0.002,0.005,0.007,,0.038,0.04,2.06,2.10,0.008,,,SSW,3.5,,
27210010,2025/01/01,13,0.003,0.001,0.004,0.005,,0.040,0.04,2.05,2.09,0.007,,,SSW,3.2,,
27210010,2025/01/01,14,0.003,0.002,0.004,0.006,,0.042,0.04,2.05,2.09,0.008,,,SSW,3.5,,
27210010,2025/01/01,15,0.003,0.002,0.004,0.006,,0.042,0.04,2.05,2.09,0.008,,,SSW,4.5,,
27210010,2025/01/01,16,0.003,0.001,0.003,0.004,,0.044,0.04,2.04,2.08,0.009,,,SSW,4.1,,
27210010,2025/01/01,17,0.004,0.001,0.004,0.005,,0.045,0.04,2.03,2.07,0.010,,,SSW,3.8,,
27210010,2025/01/01,18,0.003,0.001,0.005,0.006,,0.044,0.04,2.04,2.08,0.009,,,SSW,3.1,,
27210010,2025/01/01,19,0.004,0.001,0.008,0.009,,0.040,0.06,2.06,2.12,0.009,,,SSW,1.3,,
27210010,2025/01/01,20,0.003,0.001,0.016,0.017,,0.030,0.10,2.10,2.20,0.011,,,W,1.0,,
27210010,2025/01/01,21,0.003,0.001,0.017,0.018,,0.027,0.13,2.13,2.26,0.010,,,W,0.8,,
27210010,2025/01/01,22,0.003,0.002,0.022,0.024,,0.019,0.15,2.17,2.32,0.013,,,ESE,0.6,,
27210010,2025/01/01,23,0.003,0.001,0.019,0.020,,0.019,0.22,2.23,2.45,0.009,,,SE,0.5,,
27210010,2025/01/01,24,0.002,0,0.014,0.014,,0.022,0.15,2.16,2.31,0.009,,,N,0.5,,
27210010,2025/01/02,01,0.003,0.001,0.019,0.020,,0.013,0.16,2.21,2.37,0.011,,,ESE,1.1,,
27210010,2025/01/02,02,0.002,0,0.022,0.022,,0.009,0.26,2.26,2.52,0.015,,,CALM,0.1,,
27210010,2025/01/02,03,0.002,0.001,0.021,0.022,,0.009,0.26,2.27,2.53,0.010,,,NNE,0.9,,
27210010,2025/01/02,04,0.002,0,0.017,0.017,,0.010,0.18,2.19,2.37,0.009,,,NNW,0.8,,
27210010,2025/01/02,05,0.002,0,0.013,0.013,,0.013,0.15,2.15,2.30,0.010,,,E,0.7,,
27210010,2025/01/02,06,0.003,0,0.015,0.015,,0.010,0.15,2.15,2.30,0.011,,,NNE,1.7,,
27210010,2025/01/02,07,0.002,0,0.013,0.013,,0.010,0.13,2.15,2.28,0.010,,,E,0.7,,
