測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
27202060,2025/10/01,01,0.001,0,0.007,0.007,,0.029,0.11,2.06,2.17,0.010,6,,SW,0.8,22.7,77.0
27202060,2025/10/01,02,0.001,0,0.007,0.007,,0.025,0.10,2.05,2.15,0.010,6,,SSE,0.8,21.8,80.0
27202060,2025/10/01,03,0.001,0,0.006,0.006,,0.025,0.10,2.05,2.15,0.008,5,,SSE,0.7,21.0,83.0
27202060,2025/10/01,04,0,0,0.006,0.006,,0.022,0.11,2.06,2.17,0.006,6,,ESE,0.5,20.3,85.0
27202060,2025/10/01,05,0,0,0.006,0.006,,0.015,0.11,2.08,2.19,0.010,4,,SE,0.8,19.7,86.0
27202060,2025/10/01,06,0,0,0.007,0.007,,0.013,0.13,2.09,2.22,0.010,5,,SSE,0.7,19.5,88.0
27202060,2025/10/01,07,0,0.001,0.008,0.009,,0.013,0.13,2.11,2.24,0.012,4,,SE,0.9,21.6,88.0
27202060,2025/10/01,08,0.001,0.002,0.009,0.011,,0.025,0.11,2.06,2.17,0.011,4,,SW,1.2,23.6,80.0
27202060,2025/10/01,09,0.001,0.002,0.009,0.011,,0.029,0.09,2.04,2.13,0.007,8,,W,2.6,24.3,75.0
27202060,2025/10/01,10,0.001,0.003,0.010,0.013,,0.033,0.11,2.05,2.16,0.009,7,,W,2.8,25.2,70.0
27202060,2025/10/01,11,0.001,0.003,0.010,0.013,,0.039,0.15,2.04,2.19,0.008,9,,W,3.0,26.3,62.0
27202060,2025/10/01,12,-,-,-,-,,-,-,-,-,-,12,,W,2.9,27.1,55.0
27202060,2025/10/01,13,-,-,-,-,,0.062,-,-,-,0.017,-,,W,3.5,27.7,53.0
27202060,2025/10/01,14,0.002,0.001,0.005,0.006,,0.069,0.08,2.04,2.12,0.018,12,,W,3.5,28.2,51.0
27202060,2025/10/01,15,0.002,0.001,0.006,0.007,,0.070,0.08,2.04,2.12,0.018,16,,WSW,4.2,28.3,51.0
27202060,2025/10/01,16,0.001,0.001,0.005,0.006,,0.059,0.07,2.04,2.11,0.012,11,,W,3.5,28.7,41.0
27202060,2025/10/01,17,0.001,0,0.006,0.006,,0.056,0.09,2.03,2.12,0.013,10,,WNW,2.8,27.8,45.0
