測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
27126010,2025/01/01,01,0.003,0,0.003,0.003,,0.035,0.05,2.04,2.09,,,,W,1.7,6.5,73.0
27126010,2025/01/01,02,0.003,0,0.003,0.003,,-,0.04,2.04,2.08,,,,W,1.6,6.2,73.0
27126010,2025/01/01,03,0.003,0,0.004,0.004,,0.033,0.05,2.05,2.10,,,,WSW,0.8,5.9,74.0
27126010,2025/01/01,04,0.003,0,0.005,0.005,,0.031,0.08,2.08,2.16,,,,SW,0.7,5.7,74.0
27126010,2025/01/01,05,0.003,0,0.006,0.006,,0.030,0.08,2.10,2.18,,,,SW,1.0,5.8,71.0
27126010,2025/01/01,06,0.003,0,0.006,0.006,,0.031,0.07,2.09,2.16,,,,W,1.5,6.1,72.0
27126010,2025/01/01,07,0.003,0,0.006,0.006,,0.031,0.05,2.05,2.10,,,,W,1.4,5.8,77.0
27126010,2025/01/01,08,0.003,0.001,0.009,0.010,,0.024,0.09,2.07,2.16,,,,SSW,0.9,5.6,80.0
27126010,2025/01/01,09,0.004,0.003,0.012,0.015,,0.021,0.12,2.11,2.23,,,,SW,0.5,6.9,76.0
27126010,2025/01/01,10,0.004,0.002,0.008,0.010,,0.028,0.05,2.06,2.11,,,,WSW,3.4,8.3,69.0
27126010,2025/01/01,11,0.004,0.001,0.004,0.005,,0.034,0.04,2.00,2.04,,,,W,4.0,8.7,63.0
27126010,2025/01/01,12,0.004,0.001,0.003,0.004,,0.039,0.03,1.98,2.01,,,,SW,2.9,9.7,54.0
27126010,2025/01/01,13,0.004,0.001,0.003,0.004,,0.040,0.03,1.98,2.01,,,,W,3.9,9.7,53.0
27126010,2025/01/01,14,0.004,0.001,0.003,0.004,,0.041,0.05,1.97,2.02,,,,WSW,4.3,10.1,55.0
27126010,2025/01/01,15,0.003,0,0.003,0.003,,0.043,0.04,1.96,2.00,,,,WSW,4.5,10.1,55.0
27126010,2025/01/01,16,0.004,0,0.003,0.003,,0.045,0.04,1.96,2.00,,,,WSW,3.4,9.9,56.0
27126010,2025/01/01,17,0.004,0,0.004,0.004,,0.045,0.04,1.98,2.02,,,,SW,2.0,9.4,58.0
27126010,2025/01/01,18,0.004,0,0.006,0.006,,0.042,0.05,1.99,2.04,,,,WSW,1.5,9.1,61.0
27126010,2025/01/01,19,0.004,0,0.009,0.009,,0.038,0.07,2.02,2.09,,,,SSW,1.6,8.5,63.0
27126010,2025/01/01,20,0.003,0,0.011,0.011,,0.033,0.11,2.03,2.14,,,,S,0.8,7.6,66.0
27126010,2025/01/01,21,0.004,0,0.015,0.015,,0.026,0.12,2.05,2.17,,,,SE,1.4,6.7,69.0
27126010,2025/01/01,22,0.003,0,0.016,0.016,,0.023,0.12,2.07,2.19,,,,SE,1.3,6.4,71.0
27126010,2025/01/01,23,0.003,0.001,0.018,0.019,,0.020,0.15,2.10,2.25,,,,ESE,1.2,6.0,74.0
27126010,2025/01/01,24,0.003,0,0.016,0.016,,0.020,0.14,2.12,2.26,,,,ESE,0.5,6.1,76.0
27126010,2025/01/02,01,0.003,0,0.014,0.014,,0.021,0.13,2.12,2.25,,,,S,0.6,5.7,78.0
27126010,2025/01/02,02,0.003,0,0.015,0.015,,-,0.14,2.15,2.29,,,,SE,1.1,4.8,81.0
27126010,2025/01/02,03,0.003,0,0.009,0.009,,0.021,0.11,2.09,2.20,,,,SE,1.0,4.7,82.0
27126010,2025/01/02,04,0.003,0,0.011,0.011,,0.017,0.13,2.10,2.23,,,,N,0.5,4.6,84.0
27126010,2025/01/02,05,0.003,0,0.014,0.014,,0.012,0.17,2.16,2.33,,,,SSE,1.6,4.0,86.0
27126010,2025/01/02,06,0.003,0,0.012,0.012,,0.013,0.19,2.15,2.34,,,,SE,1.7,3.4,90.0
27126010,2025/01/02,07,0.003,0,0.013,0.013,,0.013,0.16,2.12,2.28,,,,ESE,0.6,3.2,91.0
27126010,2025/01/02,08,0.003,0.002,0.014,0.016,,0.012,0.15,2.10,2.25,,,,NNE,0.5,3.8,90.0
27126010,2025/01/02,09,0.003,0.005,0.014,0.019,,0.014,0.17,2.12,2.29,,,,S,0.8,6.1,83.0
27126010,2025/01/02,10,0.003,0.006,0.014,0.020,,0.020,0.16,2.10,2.26,,,,SSW,1.4,8.6,73.0
27126010,2025/01/02,11,0.005,0.004,0.011,0.015,,0.034,0.11,2.05,2.16,,,,WSW,2.6,9.9,60.0
27126010,2025/01/02,12,0.004,0.002,0.006,0.008,,0.040,0.05,1.99,2.04,,,,W,4.3,9.9,66.0
27126010,2025/01/02,13,0.004,0.001,0.006,0.007,,0.040,0.04,1.99,2.03,,,,WSW,4.3,10.2,65.0
27126010,2025/01/02,14,0.004,0.001,0.006,0.007,,0.043,0.06,1.98,2.04,,,,W,4.1,10.6,67.0
27126010,2025/01/02,15,0.004,0.001,0.005,0.006,,0.045,0.04,1.97,2.01,,,,SW,2.8,11.2,65.0
27126010,2025/01/02,16,0.005,0,0.005,0.005,,0.048,0.05,1.97,2.02,,,,WSW,2.8,11.1,61.0
27126010,2025/01/02,17,0.005,0,0.005,0.005,,0.047,0.05,1.98,2.03,,,,WSW,2.7,10.6,63.0
27126010,2025/01/02,18,0.004,0,0.008,0.008,,0.042,0.06,2.00,2.06,,,,WSW,1.4,10.2,65.0
27126010,2025/01/02,19,0.004,0,0.010,0.010,,0.040,0.07,2.02,2.09,,,,WSW,1.8,10.0,68.0
27126010,2025/01/02,20,0.004,0,0.011,0.011,,0.036,0.09,2.04,2.13,,,,S,0.8,9.3,69.0
27126010,2025/01/02,21,0.004,0.001,0.021,0.022,,0.023,0.16,2.09,2.25,,,,SE,0.9,8.6,72.0
27126010,2025/01/02,22,0.003,0.001,0.029,0.030,,0.013,0.21,2.13,2.34,,,,SE,1.2,7.7,76.0
27126010,2025/01/02,23,0.003,0.002,0.035,0.037,,0.007,0.28,2.19,2.47,,,,ESE,0.5,7.3,79.0
27126010,2025/01/02,24,0.003,0.001,0.033,0.034,,0.008,0.30,2.26,2.56,,,,WSW,1.1,7.6,81.0
27126010,2025/01/03,01,0.003,0,0.021,0.021,,0.022,0.20,2.21,2.41,,,,SSW,1.3,7.2,78.0
27126010,2025/01/03,02,0.003,0.001,0.016,0.017,,-,0.13,2.15,2.28,,,,CALM,0.2,6.9,79.0
27126010,2025/01/03,03,0.003,0,0.015,0.015,,0.023,0.13,2.14,2.27,,,,S,1.2,6.6,76.0
27126010,2025/01/03,04,0.003,0,0.008,0.008,,0.030,0.08,2.10,2.18,,,,NNE,1.1,6.1,76.0
27126010,2025/01/03,05,0.003,0,0.006,0.006,,0.033,0.08,2.07,2.15,,,,WNW,0.7,6.6,74.0
27126010,2025/01/03,06,0.003,0,0.007,0.007,,0.032,0.07,2.07,2.14,,,,NNW,1.0,6.2,76.0
27126010,2025/01/03,07,0.003,0,0.013,0.013,,0.022,0.10,2.10,2.20,,,,SE,0.8,4.5,81.0
27126010,2025/01/03,08,0.003,0.002,0.020,0.022,,0.009,0.23,2.15,2.38,,,,SSE,0.9,4.5,84.0
27126010,2025/01/03,09,0.003,0.005,0.019,0.024,,0.013,0.24,2.15,2.39,,,,S,1.4,6.7,80.0
27126010,2025/01/03,10,0.004,0.003,0.011,0.014,,0.026,0.13,2.09,2.22,,,,SSW,2.0,8.7,72.0
27126010,2025/01/03,11,0.004,0.002,0.007,0.009,,0.035,0.10,2.02,2.12,,,,WSW,4.4,9.4,59.0
27126010,2025/01/03,12,0.004,0.001,0.005,0.006,,0.039,0.04,1.98,2.02,,,,WSW,4.5,9.8,58.0
27126010,2025/01/03,13,0.003,0.001,0.005,0.006,,0.041,0.04,1.98,2.02,,,,W,4.9,10.4,55.0
27126010,2025/01/03,14,0.004,0.001,0.004,0.005,,0.046,0.04,1.97,2.01,,,,WSW,4.3,10.8,50.0
27126010,2025/01/03,15,0.004,0,0.003,0.003,,0.046,0.04,1.97,2.01,,,,W,4.8,10.4,54.0
27126010,2025/01/03,16,0.004,0,0.004,0.004,,0.043,0.04,1.97,2.01,,,,W,5.1,9.9,54.0
27126010,2025/01/03,17,0.004,0,0.005,0.005,,0.042,0.05,1.98,2.03,,,,W,4.4,9.6,48.0
27126010,2025/01/03,18,0.004,0,0.005,0.005,,0.042,0.06,1.99,2.05,,,,W,3.2,9.2,41.0
27126010,2025/01/03,19,0.003,0,0.005,0.005,,0.040,0.04,1.99,2.03,,,,WNW,3.2,8.1,48.0
27126010,2025/01/03,20,0.003,0,0.004,0.004,,0.039,0.05,1.99,2.04,,,,WNW,3.5,7.1,50.0
27126010,2025/01/03,21,0.003,0,0.005,0.005,,0.039,0.04,2.01,2.05,,,,WNW,2.3,6.5,54.0
27126010,2025/01/03,22,0.003,0,0.006,0.006,,0.037,0.03,2.02,2.05,,,,WSW,2.3,5.8,60.0
27126010,2025/01/03,23,0.003,0,0.005,0.005,,0.038,0.05,2.03,2.08,,,,WNW,3.4,5.3,61.0
27126010,2025/01/03,24,0.003,0,0.003,0.003,,0.040,0.03,2.01,2.04,,,,WNW,3.2,5.0,64.0
27126010,2025/01/04,01,0.003,0,0.003,0.003,,0.039,0.03,2.00,2.03,,,,W,4.1,4.6,66.0
27126010,2025/01/04,02,0.003,0,0.003,0.003,,-,0.03,2.01,2.04,,,,W,2.7,4.5,69.0
27126010,2025/01/04,03,0.003,0,0.003,0.003,,0.038,0.03,2.01,2.04,,,,W,3.7,4.3,71.0
27126010,2025/01/04,04,0.003,0,0.006,0.006,,0.033,0.02,2.01,2.03,,,,W,3.1,4.2,72.0
27126010,2025/01/04,05,0.003,0,0.005,0.005,,0.034,0.04,2.00,2.04,,,,W,2.2,3.9,75.0
27126010,2025/01/04,06,0.003,0,0.007,0.007,,0.032,0.03,2.01,2.04,,,,W,3.5,3.9,77.0
27126010,2025/01/04,07,0.004,0,0.008,0.008,,0.031,0.04,2.01,2.05,,,,WSW,2.3,4.0,74.0
27126010,2025/01/04,08,0.003,0,0.007,0.007,,0.033,0.03,2.02,2.05,,,,WSW,1.7,4.1,75.0
27126010,2025/01/04,09,0.003,0.001,0.006,0.007,,0.033,0.04,2.02,2.06,,,,W,1.7,4.7,73.0
27126010,2025/01/04,10,0.003,0.002,0.006,0.008,,0.034,0.05,2.02,2.07,,,,W,1.7,6.4,61.0
27126010,2025/01/04,11,0.003,0.001,0.005,0.006,,0.036,0.03,2.03,2.06,,,,WSW,1.4,6.9,57.0
27126010,2025/01/04,12,0.003,0.001,0.005,0.006,,0.037,0.05,2.01,2.06,,,,W,2.4,7.1,57.0
27126010,2025/01/04,13,0.003,0.001,0.005,0.006,,0.037,0.04,2.00,2.04,,,,SW,2.8,8.4,54.0
27126010,2025/01/04,14,0.003,0.001,0.004,0.005,,0.039,0.05,1.99,2.04,,,,WSW,2.5,8.5,55.0
