測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
27122010,2025/03/01,01,,0.038,0.054,0.092,,-,,,,,,,-,-,,
27122010,2025/03/01,02,,0.028,0.050,0.078,,0.001,,,,,,,-,-,,
27122010,2025/03/01,03,,0.034,0.045,0.079,,0.002,,,,,,,-,-,,
27122010,2025/03/01,04,,0.050,0.047,0.097,,0.002,,,,,,,-,-,,
27122010,2025/03/01,05,,0.049,0.041,0.090,,0.002,,,,,,,-,-,,
27122010,2025/03/01,06,,0.031,0.034,0.065,,0.002,,,,,,,-,-,,
27122010,2025/03/01,07,,0.020,0.031,0.051,,0.001,,,,,,,-,-,,
27122010,2025/03/01,08,,0.014,0.028,0.042,,0.006,,,,,,,-,-,,
27122010,2025/03/01,09,,0.004,0.021,0.025,,0.015,,,,,,,-,-,,
27122010,2025/03/01,10,,0.008,0.025,0.033,,0.016,,,,,,,-,-,,
27122010,2025/03/01,11,,0.006,0.015,0.021,,0.024,,,,,,,-,-,,
27122010,2025/03/01,12,,0.004,0.012,0.016,,0.031,,,,,,,-,-,,
27122010,2025/03/01,13,,0.006,0.019,0.025,,0.033,,,,,,,-,-,,
27122010,2025/03/01,14,,0.014,0.033,0.047,,0.025,,,,,,,-,-,,
27122010,2025/03/01,15,,0.009,0.032,0.041,,0.031,,,,,,,-,-,,
27122010,2025/03/01,16,,0.005,0.032,0.037,,0.039,,,,,,,-,-,,
27122010,2025/03/01,17,,0.003,0.029,0.032,,0.042,,,,,,,-,-,,
27122010,2025/03/01,18,,0.001,0.030,0.031,,0.037,,,,,,,-,-,,
27122010,2025/03/01,19,,0,0.031,0.031,,0.033,,,,,,,-,-,,
27122010,2025/03/01,20,,0.001,0.029,0.030,,0.028,,,,,,,-,-,,
27122010,2025/03/01,21,,0.001,0.028,0.029,,0.025,,,,,,,-,-,,
27122010,2025/03/01,22,,0.001,0.028,0.029,,0.023,,,,,,,-,-,,
27122010,2025/03/01,23,,0.001,0.023,0.024,,0.023,,,,,,,-,-,,
27122010,2025/03/01,24,,0.001,0.024,0.025,,0.021,,,,,,,-,-,,
27122010,2025/03/02,01,,0.001,0.019,0.020,,-,,,,,,,-,-,,
27122010,2025/03/02,02,,0.001,0.018,0.019,,0.024,,,,,,,-,-,,
27122010,2025/03/02,03,,0.001,0.021,0.022,,0.019,,,,,,,-,-,,
27122010,2025/03/02,04,,0.001,0.025,0.026,,0.014,,,,,,,-,-,,
27122010,2025/03/02,05,,0.001,0.023,0.024,,0.014,,,,,,,-,-,,
27122010,2025/03/02,06,,0.001,0.025,0.026,,0.009,,,,,,,-,-,,
27122010,2025/03/02,07,,0.002,0.028,0.030,,0.007,,,,,,,-,-,,
27122010,2025/03/02,08,,0.003,0.022,0.025,,0.009,,,,,,,-,-,,
27122010,2025/03/02,09,,0.005,0.023,0.028,,0.010,,,,,,,-,-,,
27122010,2025/03/02,10,,0.005,0.025,0.030,,0.011,,,,,,,-,-,,
27122010,2025/03/02,11,,0.010,0.030,0.040,,0.011,,,,,,,-,-,,
27122010,2025/03/02,12,,0.008,0.029,0.037,,0.014,,,,,,,-,-,,
27122010,2025/03/02,13,,0.005,0.021,0.026,,0.023,,,,,,,-,-,,
27122010,2025/03/02,14,,0.002,0.014,0.016,,0.029,,,,,,,-,-,,
27122010,2025/03/02,15,,0.003,0.022,0.025,,0.022,,,,,,,-,-,,
27122010,2025/03/02,16,,0.003,0.018,0.021,,0.025,,,,,,,-,-,,
27122010,2025/03/02,17,,0.003,0.023,0.026,,0.022,,,,,,,-,-,,
27122010,2025/03/02,18,,0.001,0.026,0.027,,0.019,,,,,,,-,-,,
27122010,2025/03/02,19,,0.002,0.032,0.034,,0.012,,,,,,,-,-,,
27122010,2025/03/02,20,,0.002,0.033,0.035,,0.010,,,,,,,-,-,,
27122010,2025/03/02,21,,0.001,0.026,0.027,,0.014,,,,,,,-,-,,
