測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
27216010,2025/06/01,01,,0,0.002,0.002,,0.052,,,,0.006,1,,CALM,0.3,,
27216010,2025/06/01,02,,0,0.003,0.003,,0.047,,,,0.007,5,,SSW,0.8,,
27216010,2025/06/01,03,,0,0.003,0.003,,0.048,,,,0.006,4,,S,0.5,,
27216010,2025/06/01,04,,0,0.002,0.002,,0.047,,,,0.009,6,,CALM,0.3,,
27216010,2025/06/01,05,,0,0.002,0.002,,0.044,,,,0.012,9,,CALM,0,,
27216010,2025/06/01,06,,0,0.002,0.002,,0.046,,,,0.015,10,,WNW,0.9,,
27216010,2025/06/01,07,,0,0.003,0.003,,0.045,,,,0.017,11,,NW,0.6,,
27216010,2025/06/01,08,,0,0.003,0.003,,0.044,,,,0.019,12,,SSW,0.9,,
27216010,2025/06/01,09,,0,0.008,0.008,,0.038,,,,0.020,12,,CALM,0.4,,
27216010,2025/06/01,10,,0,0.004,0.004,,0.047,,,,0.014,9,,NNW,1.2,,
27216010,2025/06/01,11,,0,0.002,0.002,,0.050,,,,0.016,12,,NW,1.4,,
27216010,2025/06/01,12,,0,0.002,0.002,,0.051,,,,0.017,11,,N,1.7,,
27216010,2025/06/01,13,,0,0.001,0.001,,0.053,,,,0.015,13,,N,2.1,,
27216010,2025/06/01,14,,0,0.001,0.001,,0.052,,,,0.018,13,,NE,1.9,,
27216010,2025/06/01,15,,0,0.001,0.001,,0.051,,,,0.017,13,,NNE,1.6,,
27216010,2025/06/01,16,,0,0.002,0.002,,0.048,,,,0.019,13,,NNE,1.2,,
27216010,2025/06/01,17,,0,0.001,0.001,,0.051,,,,0.019,14,,N,0.8,,
27216010,2025/06/01,18,,0,0.002,0.002,,0.048,,,,0.019,12,,ENE,1.6,,
27216010,2025/06/01,19,,0,0.002,0.002,,0.045,,,,0.020,11,,NE,0.8,,
27216010,2025/06/01,20,,0,0.002,0.002,,0.032,,,,0,15,,S,1.8,,
27216010,2025/06/01,21,,0,0.002,0.002,,0.023,,,,0.020,12,,SSE,1.1,,
27216010,2025/06/01,22,,0,0.002,0.002,,0.022,,,,0.016,11,,S,1.5,,
27216010,2025/06/01,23,,0,0.002,0.002,,0.021,,,,0.015,10,,CALM,0.2,,
27216010,2025/06/01,24,,-,-,-,,0.021,,,,0.017,10,,S,1.5,,
27216010,2025/06/02,01,,0,0.001,0.001,,0.019,,,,0.016,9,,S,1.2,,
27216010,2025/06/02,02,,0,0.001,0.001,,0.020,,,,0.016,10,,S,0.7,,
27216010,2025/06/02,03,,0,0.001,0.001,,0.023,,,,0.015,10,,S,1.2,,
27216010,2025/06/02,04,,0,0.001,0.001,,0.023,,,,0.013,9,,CALM,0.4,,
27216010,2025/06/02,05,,0,0.001,0.001,,0.021,,,,0.011,9,,CALM,0.2,,
27216010,2025/06/02,06,,0,0.002,0.002,,0.019,,,,0.012,10,,S,0.6,,
27216010,2025/06/02,07,,0,0.002,0.002,,0.026,,,,0.012,10,,SSE,0.7,,
27216010,2025/06/02,08,,0,0.002,0.002,,0.029,,,,0.015,17,,CALM,0.4,,
27216010,2025/06/02,09,,0,0.002,0.002,,0.038,,,,0.014,13,,NE,1.0,,
27216010,2025/06/02,10,,0,0.002,0.002,,0.050,,,,0.015,12,,NE,1.1,,
27216010,2025/06/02,11,,0,0.002,0.002,,0.056,,,,0.017,15,,NNE,1.9,,
27216010,2025/06/02,12,,0,0.002,0.002,,0.060,,,,0.016,13,,NW,0.9,,
27216010,2025/06/02,13,,0,0.004,0.004,,0.069,,,,0.020,16,,NNW,2.0,,
27216010,2025/06/02,14,,0,0.007,0.007,,0.079,,,,0.022,19,,NNW,0.8,,
27216010,2025/06/02,15,,0,0.009,0.009,,0.077,,,,0.024,17,,WNW,1.0,,
27216010,2025/06/02,16,,0.001,0.015,0.016,,0.066,,,,0.030,22,,WNW,1.5,,
27216010,2025/06/02,17,,0.001,0.013,0.014,,0.063,,,,0.024,16,,NNW,1.5,,
27216010,2025/06/02,18,,0,0.009,0.009,,0.058,,,,0.021,14,,NNW,1.2,,
27216010,2025/06/02,19,,0,0.011,0.011,,0.052,,,,0.023,15,,CALM,0.1,,
27216010,2025/06/02,20,,0,0.010,0.010,,0.044,,,,0.022,14,,CALM,0.1,,
27216010,2025/06/02,21,,0,0.010,0.010,,0.037,,,,0.023,16,,CALM,0.2,,
27216010,2025/06/02,22,,0,0.010,0.010,,0.032,,,,0.022,17,,SSE,0.8,,
27216010,2025/06/02,23,,0,0.004,0.004,,0.030,,,,0.020,11,,S,0.8,,
27216010,2025/06/02,24,,0,0.003,0.003,,0.025,,,,0.021,13,,S,0.7,,
27216010,2025/06/03,01,,0,0.003,0.003,,0.023,,,,0.020,15,,CALM,0,,
27216010,2025/06/03,02,,0,0.006,0.006,,0.020,,,,0.021,14,,CALM,0.1,,
27216010,2025/06/03,03,,0,0.003,0.003,,0.019,,,,0.021,12,,SSW,0.6,,
27216010,2025/06/03,04,,0,0.002,0.002,,0.021,,,,0.017,12,,NNW,0.6,,
27216010,2025/06/03,05,,0,0.003,0.003,,0.025,,,,0.016,12,,CALM,0.4,,
27216010,2025/06/03,06,,0,0.002,0.002,,0.026,,,,0.015,9,,NNE,1.0,,
27216010,2025/06/03,07,,0,0.002,0.002,,0.031,,,,0.014,11,,CALM,0.1,,
27216010,2025/06/03,08,,0,0.004,0.004,,0.031,,,,0.009,5,,NNE,1.6,,
27216010,2025/06/03,09,,0,0.004,0.004,,0.033,,,,0.008,6,,N,1.1,,
27216010,2025/06/03,10,,0,0.003,0.003,,0.033,,,,0.007,7,,SSW,0.5,,
27216010,2025/06/03,11,,0,0.002,0.002,,0.037,,,,0.005,3,,N,1.6,,
27216010,2025/06/03,12,,0,0.003,0.003,,0.040,,,,0.007,4,,NNW,1.5,,
27216010,2025/06/03,13,,0,0.003,0.003,,0.043,,,,0.006,2,,NNW,1.6,,
27216010,2025/06/03,14,,0,0.003,0.003,,0.043,,,,0.004,0,,NNW,1.7,,
27216010,2025/06/03,15,,0,0.003,0.003,,0.044,,,,0.004,2,,NNW,0.9,,
27216010,2025/06/03,16,,0,0.004,0.004,,0.040,,,,0.004,1,,CALM,0.4,,
27216010,2025/06/03,17,,0,0.004,0.004,,0.038,,,,0.005,4,,N,1.1,,
27216010,2025/06/03,18,,0,0.005,0.005,,0.039,,,,0.003,1,,NNE,0.6,,
27216010,2025/06/03,19,,0,0.005,0.005,,0.036,,,,0.006,3,,CALM,0.2,,
27216010,2025/06/03,20,,0,0.005,0.005,,0.035,,,,0.007,3,,CALM,0.4,,
27216010,2025/06/03,21,,0,0.009,0.009,,0.032,,,,0.010,4,,S,0.7,,
27216010,2025/06/03,22,,0,0.006,0.006,,0.028,,,,0.008,3,,CALM,0,,
27216010,2025/06/03,23,,0,0.005,0.005,,0.025,,,,0.008,2,,CALM,0,,
27216010,2025/06/03,24,,0,0.004,0.004,,-,,,,0.011,6,,CALM,0.2,,
27216010,2025/06/04,01,,0,0.003,0.003,,0.040,,,,0.014,9,,SSW,0.7,,
27216010,2025/06/04,02,,0,0.003,0.003,,0.035,,,,0.013,9,,CALM,0.4,,
27216010,2025/06/04,03,,0,0.003,0.003,,0.034,,,,0.013,6,,SW,0.9,,
27216010,2025/06/04,04,,0,0.004,0.004,,0.031,,,,0.014,7,,SSW,0.6,,
27216010,2025/06/04,05,,0,0.005,0.005,,0.028,,,,0.013,8,,S,0.6,,
27216010,2025/06/04,06,,0,0.005,0.005,,0.026,,,,0.013,9,,S,0.5,,
27216010,2025/06/04,07,,0,0.004,0.004,,0.031,,,,0.011,7,,S,0.5,,
27216010,2025/06/04,08,,0.001,0.003,0.004,,0.034,,,,0.009,8,,W,0.7,,
27216010,2025/06/04,09,,0.001,0.003,0.004,,0.042,,,,0.008,8,,SSW,1.0,,
27216010,2025/06/04,10,,0,0.002,0.002,,0.051,,,,0.009,6,,WSW,1.3,,
27216010,2025/06/04,11,,0.001,0.005,0.006,,0.051,,,,0.019,12,,WSW,1.6,,
27216010,2025/06/04,12,,0.001,0.003,0.004,,0.063,,,,0.022,19,,SW,1.5,,
27216010,2025/06/04,13,,0,0.002,0.002,,0.065,,,,0.015,10,,SSW,2.2,,
27216010,2025/06/04,14,,0,0.002,0.002,,0.061,,,,0.014,11,,WSW,1.3,,
27216010,2025/06/04,15,,0,0.002,0.002,,0.061,,,,0.016,11,,WSW,2.1,,
27216010,2025/06/04,16,,0,0.002,0.002,,0.063,,,,0.016,8,,WSW,1.6,,
27216010,2025/06/04,17,,0,0.002,0.002,,0.062,,,,0.015,10,,W,1.1,,
27216010,2025/06/04,18,,0,0.003,0.003,,0.065,,,,0.015,10,,SW,1.2,,
27216010,2025/06/04,19,,0,0.003,0.003,,0.059,,,,0.017,10,,S,1.8,,
27216010,2025/06/04,20,,0,0.003,0.003,,0.037,,,,0.016,10,,S,1.3,,
