測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
26213010,2023/08/01,01,,0,0.006,0.006,,0.007,,,,0.011,6,,,,,
26213010,2023/08/01,02,,0.001,0.007,0.008,,0.005,,,,0.006,5,,,,,
26213010,2023/08/01,03,,0.001,0.009,0.010,,0.005,,,,0.008,4,,,,,
26213010,2023/08/01,04,,0.001,0.011,0.012,,0.004,,,,0.007,5,,,,,
26213010,2023/08/01,05,,0.001,0.011,0.012,,0.003,,,,0.007,5,,,,,
26213010,2023/08/01,06,,0.001,0.009,0.010,,0.003,,,,0.012,5,,,,,
26213010,2023/08/01,07,,0.002,0.008,0.010,,0.005,,,,0.010,5,,,,,
26213010,2023/08/01,08,,0.002,0.007,0.009,,0.011,,,,0.008,7,,,,,
26213010,2023/08/01,09,,0.001,0.005,0.006,,0.018,,,,0.005,5,,,,,
26213010,2023/08/01,10,,0.001,0.004,0.005,,0.025,,,,0.008,8,,,,,
26213010,2023/08/01,11,,0,0.003,0.003,,0.034,,,,0.006,15,,,,,
26213010,2023/08/01,12,,0,0.002,0.002,,0.036,,,,0.006,8,,,,,
26213010,2023/08/01,13,,0,0.002,0.002,,0.038,,,,0.009,8,,,,,
26213010,2023/08/01,14,,0,0.002,0.002,,0.046,,,,0.011,10,,,,,
26213010,2023/08/01,15,,0,0.002,0.002,,0.058,,,,0.012,7,,,,,
26213010,2023/08/01,16,,0,0.002,0.002,,0.059,,,,0.009,6,,,,,
26213010,2023/08/01,17,,0,0.002,0.002,,0.056,,,,0.012,9,,,,,
26213010,2023/08/01,18,,0,0.002,0.002,,0.051,,,,0.006,5,,,,,
26213010,2023/08/01,19,,0,0.003,0.003,,0.029,,,,0.007,3,,,,,
26213010,2023/08/01,20,,0,0.006,0.006,,0.016,,,,0.010,6,,,,,
26213010,2023/08/01,21,,0,0.006,0.006,,0.010,,,,0.007,6,,,,,
26213010,2023/08/01,22,,0,0.006,0.006,,0.008,,,,0.004,5,,,,,
26213010,2023/08/01,23,,0,0.006,0.006,,0.006,,,,0.005,2,,,,,
26213010,2023/08/01,24,,0.001,0.006,0.007,,0.005,,,,0.004,4,,,,,
26213010,2023/08/02,01,,0.001,0.007,0.008,,0.004,,,,0.005,5,,,,,
26213010,2023/08/02,02,,0.001,0.007,0.008,,0.003,,,,0.004,5,,,,,
26213010,2023/08/02,03,,0.001,0.009,0.010,,0.003,,,,0.008,6,,,,,
26213010,2023/08/02,04,,0.001,0.010,0.011,,0.002,,,,0.007,4,,,,,
26213010,2023/08/02,05,,0.001,0.009,0.010,,0.002,,,,0.007,6,,,,,
26213010,2023/08/02,06,,0.002,0.007,0.009,,0.002,,,,0.009,7,,,,,
26213010,2023/08/02,07,,0.003,0.006,0.009,,0.003,,,,0.011,9,,,,,
26213010,2023/08/02,08,,0.002,0.006,0.008,,0.010,,,,0.012,10,,,,,
26213010,2023/08/02,09,,0.002,0.006,0.008,,0.024,,,,0.010,10,,,,,
26213010,2023/08/02,10,,0.001,0.004,0.005,,0.022,,,,0.009,9,,,,,
26213010,2023/08/02,11,,0.001,0.003,0.004,,0.029,,,,0.011,11,,,,,
26213010,2023/08/02,12,,0,0.003,0.003,,0.038,,,,0.005,10,,,,,
26213010,2023/08/02,13,,0,0.002,0.002,,0.027,,,,0.008,4,,,,,
26213010,2023/08/02,14,,0,0.001,0.001,,0.029,,,,0.005,6,,,,,
26213010,2023/08/02,15,,0,0.001,0.001,,0.034,,,,0.008,8,,,,,
26213010,2023/08/02,16,,0,0.001,0.001,,0.032,,,,0.009,3,,,,,
26213010,2023/08/02,17,,0,0.001,0.001,,0.023,,,,0.004,9,,,,,
26213010,2023/08/02,18,,0,0.002,0.002,,0.023,,,,0.004,4,,,,,
26213010,2023/08/02,19,,0,0.001,0.001,,0.019,,,,0.005,3,,,,,
26213010,2023/08/02,20,,0,0.002,0.002,,0.013,,,,0.010,9,,,,,
26213010,2023/08/02,21,,0,0.002,0.002,,0.008,,,,0.008,8,,,,,
26213010,2023/08/02,22,,0,0.003,0.003,,0.006,,,,0.008,9,,,,,
26213010,2023/08/02,23,,0,0.004,0.004,,0.005,,,,0.011,9,,,,,
26213010,2023/08/02,24,,0.001,0.005,0.006,,0.004,,,,0.013,7,,,,,
26213010,2023/08/03,01,,0.001,0.005,0.006,,0.003,,,,0.012,8,,,,,
26213010,2023/08/03,02,,0.002,0.006,0.008,,0.003,,,,0.011,8,,,,,
26213010,2023/08/03,03,,0.001,0.006,0.007,,0.002,,,,0.013,9,,,,,
26213010,2023/08/03,04,,0.001,0.006,0.007,,0.002,,,,0.010,8,,,,,
26213010,2023/08/03,05,,0.001,0.006,0.007,,0.002,,,,0.013,6,,,,,
26213010,2023/08/03,06,,0.001,0.005,0.006,,0.002,,,,0.007,7,,,,,
26213010,2023/08/03,07,,0.002,0.005,0.007,,0.004,,,,0.006,6,,,,,
26213010,2023/08/03,08,,0.003,0.007,0.010,,0.010,,,,0.007,11,,,,,
26213010,2023/08/03,09,,0.002,0.006,0.008,,0.021,,,,0.013,13,,,,,
26213010,2023/08/03,10,,0.001,0.005,0.006,,0.026,,,,0.020,10,,,,,
26213010,2023/08/03,11,,0.001,0.006,0.007,,0.037,,,,0.015,9,,,,,
26213010,2023/08/03,12,,0,0.002,0.002,,0.034,,,,0.002,5,,,,,
26213010,2023/08/03,13,,0,0.002,0.002,,0.036,,,,0,1,,,,,
26213010,2023/08/03,14,,0,0.001,0.001,,0.038,,,,0.002,5,,,,,
26213010,2023/08/03,15,,0,0.001,0.001,,0.032,,,,0.005,3,,,,,
26213010,2023/08/03,16,,-,-,-,,-,,,,0.003,-,,,,,
26213010,2023/08/03,17,,-,-,-,,0.031,,,,-,-1,,,,,
26213010,2023/08/03,18,,0,0.002,0.002,,0.028,,,,0.009,4,,,,,
26213010,2023/08/03,19,,0,0.002,0.002,,0.024,,,,0.004,0,,,,,
26213010,2023/08/03,20,,0,0.003,0.003,,0.015,,,,0.006,5,,,,,
26213010,2023/08/03,21,,0,0.004,0.004,,0.010,,,,0.007,4,,,,,
26213010,2023/08/03,22,,0.001,0.005,0.006,,0.008,,,,0.002,0,,,,,
26213010,2023/08/03,23,,0.001,0.005,0.006,,0.007,,,,0.003,3,,,,,
26213010,2023/08/03,24,,0,0.006,0.006,,0.006,,,,0.002,2,,,,,
26213010,2023/08/04,01,,0.001,0.006,0.007,,0.005,,,,0.006,2,,,,,
26213010,2023/08/04,02,,0.001,0.007,0.008,,0.004,,,,0.005,2,,,,,
26213010,2023/08/04,03,,0.001,0.007,0.008,,0.003,,,,0.002,3,,,,,
26213010,2023/08/04,04,,0.001,0.007,0.008,,0.002,,,,0.009,3,,,,,
26213010,2023/08/04,05,,0.001,0.007,0.008,,0.002,,,,0.001,2,,,,,
26213010,2023/08/04,06,,0.002,0.007,0.009,,0.003,,,,0.004,2,,,,,
26213010,2023/08/04,07,,0.003,0.008,0.011,,0.005,,,,0.004,4,,,,,
26213010,2023/08/04,08,,0.003,0.010,0.013,,0.011,,,,0.010,6,,,,,
26213010,2023/08/04,09,,0.001,0.006,0.007,,0.022,,,,0.004,11,,,,,
26213010,2023/08/04,10,,0.001,0.005,0.006,,0.027,,,,0.004,1,,,,,
26213010,2023/08/04,11,,0.001,0.004,0.005,,0.031,,,,0.006,7,,,,,
26213010,2023/08/04,12,,0,0.004,0.004,,0.036,,,,0.004,6,,,,,
26213010,2023/08/04,13,,0,0.003,0.003,,0.036,,,,0.003,3,,,,,
26213010,2023/08/04,14,,0,0.002,0.002,,0.042,,,,0.004,2,,,,,
26213010,2023/08/04,15,,0,0.002,0.002,,0.040,,,,0.004,4,,,,,
26213010,2023/08/04,16,,0,0.002,0.002,,0.038,,,,0.003,3,,,,,
26213010,2023/08/04,17,,0,0.002,0.002,,0.034,,,,0.006,4,,,,,
26213010,2023/08/04,18,,0,0.003,0.003,,0.039,,,,0.008,6,,,,,
