測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(μg/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
26104520,2024/04/01,01,,-,-,-,,,,,,0.025,15,,,,,
26104520,2024/04/01,02,,0,0.001,0.001,,,,,,0.025,19,,,,,
26104520,2024/04/01,03,,0,0.001,0.001,,,,,,0.020,16,,,,,
26104520,2024/04/01,04,,0,0.001,0.001,,,,,,0.025,16,,,,,
26104520,2024/04/01,05,,0,0.001,0.001,,,,,,0.022,14,,,,,
26104520,2024/04/01,06,,0,0.001,0.001,,,,,,0.022,15,,,,,
26104520,2024/04/01,07,,0,0.001,0.001,,,,,,0.022,13,,,,,
26104520,2024/04/01,08,,0.004,0.004,0.008,,,,,,0.020,13,,,,,
26104520,2024/04/01,09,,0.002,0.002,0.004,,,,,,0.019,10,,,,,
26104520,2024/04/01,10,,0.003,0.003,0.006,,,,,,0.015,9,,,,,
26104520,2024/04/01,11,,0.001,0.003,0.004,,,,,,0.016,10,,,,,
26104520,2024/04/01,12,,0.001,0.002,0.003,,,,,,0.013,8,,,,,
26104520,2024/04/01,13,,-,-,-,,,,,,0.018,-,,,,,
26104520,2024/04/01,14,,0.002,0.002,0.004,,,,,,0.015,12,,,,,
26104520,2024/04/01,15,,0.002,0.004,0.006,,,,,,0.013,11,,,,,
26104520,2024/04/01,16,,0.003,0.005,0.008,,,,,,0.011,8,,,,,
26104520,2024/04/01,17,,0.003,0.007,0.010,,,,,,0.014,10,,,,,
26104520,2024/04/01,18,,0.002,0.006,0.008,,,,,,0.016,11,,,,,
26104520,2024/04/01,19,,0.003,0.008,0.011,,,,,,0.016,14,,,,,
26104520,2024/04/01,20,,0.003,0.008,0.011,,,,,,0.013,11,,,,,
26104520,2024/04/01,21,,0.004,0.011,0.015,,,,,,0.015,10,,,,,
26104520,2024/04/01,22,,0.002,0.010,0.012,,,,,,0.017,11,,,,,
26104520,2024/04/01,23,,0.002,0.008,0.010,,,,,,0.017,10,,,,,
26104520,2024/04/01,24,,0.001,0.006,0.007,,,,,,0.016,11,,,,,
26104520,2024/04/02,01,,0.001,0.004,0.005,,,,,,0.018,10,,,,,
26104520,2024/04/02,02,,0,0.003,0.003,,,,,,0.015,11,,,,,
26104520,2024/04/02,03,,0.001,0.004,0.005,,,,,,0.014,10,,,,,
26104520,2024/04/02,04,,0.001,0.004,0.005,,,,,,0.014,11,,,,,
26104520,2024/04/02,05,,0.001,0.003,0.004,,,,,,0.014,8,,,,,
26104520,2024/04/02,06,,0.001,0.003,0.004,,,,,,0.013,10,,,,,
26104520,2024/04/02,07,,0.005,0.010,0.015,,,,,,0.016,8,,,,,
26104520,2024/04/02,08,,0.010,0.016,0.026,,,,,,0.012,8,,,,,
26104520,2024/04/02,09,,0.009,0.016,0.025,,,,,,0.013,10,,,,,
26104520,2024/04/02,10,,0.011,0.018,0.029,,,,,,0.013,9,,,,,
26104520,2024/04/02,11,,0.007,0.017,0.024,,,,,,0.016,10,,,,,
26104520,2024/04/02,12,,0.012,0.022,0.034,,,,,,0.018,11,,,,,
26104520,2024/04/02,13,,0.006,0.018,0.024,,,,,,0.013,11,,,,,
26104520,2024/04/02,14,,0.012,0.030,0.042,,,,,,0.018,11,,,,,
26104520,2024/04/02,15,,0.007,0.020,0.027,,,,,,0.015,10,,,,,
26104520,2024/04/02,16,,0.007,0.023,0.030,,,,,,0.016,11,,,,,
26104520,2024/04/02,17,,0.003,0.015,0.018,,,,,,0.012,11,,,,,
26104520,2024/04/02,18,,0.007,0.025,0.032,,,,,,0.014,10,,,,,
26104520,2024/04/02,19,,0.004,0.024,0.028,,,,,,0.015,11,,,,,
26104520,2024/04/02,20,,0.003,0.024,0.027,,,,,,0.016,12,,,,,
26104520,2024/04/02,21,,0.008,0.029,0.037,,,,,,0.018,12,,,,,
26104520,2024/04/02,22,,0.005,0.024,0.029,,,,,,0.015,10,,,,,
26104520,2024/04/02,23,,0.002,0.019,0.021,,,,,,0.015,11,,,,,
26104520,2024/04/02,24,,0.001,0.015,0.016,,,,,,0.014,12,,,,,
26104520,2024/04/03,01,,0.001,0.014,0.015,,,,,,0.014,10,,,,,
26104520,2024/04/03,02,,0.001,0.008,0.009,,,,,,0.011,12,,,,,
26104520,2024/04/03,03,,0.001,0.008,0.009,,,,,,0.015,11,,,,,
26104520,2024/04/03,04,,0.001,0.007,0.008,,,,,,0.015,10,,,,,
26104520,2024/04/03,05,,0.001,0.008,0.009,,,,,,0.016,11,,,,,
26104520,2024/04/03,06,,0.001,0.009,0.010,,,,,,0.017,12,,,,,
26104520,2024/04/03,07,,0.001,0.010,0.011,,,,,,0.015,13,,,,,
26104520,2024/04/03,08,,0.009,0.018,0.027,,,,,,0.021,14,,,,,
26104520,2024/04/03,09,,0.023,0.023,0.046,,,,,,0.016,9,,,,,
26104520,2024/04/03,10,,0.013,0.023,0.036,,,,,,0.016,12,,,,,
26104520,2024/04/03,11,,0.016,0.025,0.041,,,,,,0.017,10,,,,,
26104520,2024/04/03,12,,0.006,0.017,0.023,,,,,,0.013,11,,,,,
26104520,2024/04/03,13,,0.006,0.017,0.023,,,,,,0.007,6,,,,,
26104520,2024/04/03,14,,0.011,0.023,0.034,,,,,,0.007,6,,,,,
26104520,2024/04/03,15,,0.004,0.017,0.021,,,,,,0.013,9,,,,,
26104520,2024/04/03,16,,0.008,0.024,0.032,,,,,,0.009,3,,,,,
