iter	RMSE
141	0.1102436562
142	0.1102071193
143	0.1101588005
144	0.1101327459
145	0.110087943
146	0.110061225
147	0.1099894975
148	0.1099417388
149	0.1098930144
150	0.10984723
151	0.109818123
152	0.1097602575
153	0.1097325753
154	0.1096918868
155	0.109617651
156	0.1095527205
157	0.1094982466
158	0.1094685299
159	0.1094209316
160	0.109395462
161	0.1093462495
162	0.1093410343
163	0.1092960466
164	0.1092076402
165	0.1091190708
166	0.10907003
167	0.1090527918
168	0.109013767
169	0.1089546941
170	0.1088863902
171	0.1088481208
172	0.1088226663
173	0.1087998549
174	0.1087662128
175	0.1087307427
176	0.1087031842
177	0.1086687704
178	0.1086235751
179	0.1085759649
180	0.1085165825
181	0.1084742819
182	0.1084019602
183	0.1083518802
184	0.1083318373
185	0.1082800297
186	0.1082283257
187	0.1081600436
188	0.1081259081
189	0.1080707799
190	0.1080416848
191	0.108029488
192	0.1079985573
193	0.1079865919
194	0.10792367
195	0.1078879624
196	0.1078108437
197	0.107732677
198	0.1076821496
199	0.1076452357
200	0.1076100636
201	0.1075989587
202	0.107594391
203	0.1075439955
204	0.1074744599
205	0.1074703771
206	0.107466225
207	0.107461673
208	0.1073866665
209	0.1073464576
210	0.1073016593
211	0.1072967024
212	0.1072676701
213	0.1072633062
214	0.1072588327
215	0.1072419051
216	0.1072381136
217	0.1071663877
218	0.1071237711
219	0.1070730155
220	0.1070190517
221	0.1070146448
222	0.1069569975
223	0.1069517461
224	0.1069146138
225	0.1068489683
226	0.1067827812
227	0.106745942
228	0.1067016142
229	0.1066258667
230	0.1065784408
231	0.1065392839
232	0.1065348181
233	0.1064760668
234	0.10641064
235	0.1064057881
236	0.106401402
237	0.1063721292
238	0.1063681108
239	0.1063043672
240	0.1063005037
241	0.1062569436
242	0.1062529935
243	0.1062064158
244	0.106165685
245	0.1060937416
246	0.1060618371
247	0.1060272985
248	0.1060233774
249	0.1059698397
250	0.1059661411
251	0.1059023482
252	0.1058941558
253	0.1058153716
254	0.1057459955
255	0.1056990292
256	0.1056449365
257	0.1055661806
258	0.1054993645
259	0.1054505767
260	0.1054470503
261	0.1053854298
262	0.105382211
263	0.1053247836
264	0.1052812588
265	0.1052084104
266	0.1051485013
267	0.1051050177
268	0.105055094
269	0.1050095313
270	0.104958276
271	0.1049064927
272	0.1049031805
273	0.1048590472
274	0.1048254074
275	0.1047396013
276	0.1047362409
277	0.1046937216
278	0.1046256954
279	0.1046227809
280	0.1045786562
281	0.104575452
282	0.1045149284
283	0.1044613176
284	0.1044177701
285	0.1043425179
286	0.1042832643
287	0.1042801343
288	0.1042170213
289	0.1041754911
290	0.1041724124
291	0.1040979599
292	0.1040384588
293	0.1039955094
294	0.1039258107
295	0.1038474844
296	0.1038072291
297	0.1037492357
298	0.1037463636
299	0.1036799485
300	0.1036145095
301	0.103557905
302	0.1035155309
303	0.1034473793
304	0.1034114218
305	0.1033749163
306	0.1033246142
307	0.1032811668
308	0.1032351605
309	0.1031939339
310	0.1031340291
311	0.103090663
312	0.1030357504
313	0.1029982441
314	0.1029539917
315	0.1029105384
316	0.1028531559
317	0.1028505905
318	0.1027974075
319	0.1027705316
320	0.1027073334
321	0.1026514048
322	0.1026487645
323	0.102646111
324	0.1025937597
325	0.1025365614
326	0.1024779803
327	0.102434054
328	0.1023813145
329	0.1023341721
330	0.1023316069
331	0.1022831095
332	0.1022211188
333	0.1021572108
334	0.1021133589
335	0.1020565153
336	0.102011569
337	0.1019704854
338	0.1019136187
339	0.1018698409
340	0.1018394101
341	0.1017827911
342	0.1017356834
343	0.1016941206
344	0.1016363158
345	0.1015757099
346	0.1015291213
347	0.1014878576
348	0.1014400306
349	0.1013916441
350	0.101331769
351	0.1012642981
352	0.1012198191
353	0.1011732543
354	0.1010987126
355	0.1010435285
356	0.1009842482
357	0.1009376704
358	0.1008756139
359	0.1008177891
360	0.1007698449
361	0.1007163757
362	0.1006738
363	0.1006260547
364	0.1005777028
365	0.1005247833
366	0.1004675503
367	0.100416874
368	0.100379953
369	0.1003428206
370	0.1003084358
371	0.1002418906
372	0.100198822
373	0.1001406002
374	0.1001046719
375	0.1000632739
376	0.09999970546
377	0.09997450107
378	0.09991893807
379	0.09986589791
380	0.09981889548
381	0.0997664688
382	0.09973310251
383	0.09973067953
384	0.09967878291
385	0.0996431952
386	0.09960315052
387	0.0995488954
388	0.09949109782
389	0.09945694697
390	0.09941885411
391	0.09935020645
392	0.09932834375
393	0.0992973768
394	0.09924472004
395	0.09920603719
396	0.09916654158
397	0.0991357025
398	0.0990883712
399	0.09903744986
400	0.09901296199
401	0.09896898425
402	0.09892250031
403	0.09887309426
404	0.09887072963
405	0.09883390564
406	0.09877088641
407	0.09874679879
408	0.09871868954
409	0.09865515212
410	0.09861125833
411	0.09857460332
412	0.0985245266
413	0.09847455425
414	0.09842654068
415	0.09836568628
416	0.0983481825
417	0.0983032457
418	0.09827349248
419	0.09822910904
420	0.09818773861
421	0.09813996185
422	0.0980998259
423	0.09806691739
424	0.09802998924
425	0.09796887534
426	0.09791693243
427	0.09787368659
428	0.09782655033
429	0.09779699443
430	0.09776657892
431	0.09773782375
432	0.0977025739
433	0.09767093709
434	0.09761090864
435	0.09759485177
436	0.0975474873
437	0.09750747143
438	0.0974587041
439	0.09743586753
440	0.09737019781
441	0.09733709117
442	0.09728163373
443	0.09727970777
444	0.09727750258
445	0.09722736193
446	0.09716207554
447	0.09716005312
448	0.09715340265
449	0.09713925077
450	0.09710352979
451	0.09709277647
452	0.09706916639
453	0.09703211648
454	0.09698870219
455	0.0969276646
456	0.0968883893
457	0.09686620942
458	0.09683101098
459	0.09678268206
460	0.09674767131
461	0.09670909443
462	0.09670699445
463	0.09667844065
464	0.09663331833
465	0.09660172393
466	0.09652401577
467	0.09647068585
468	0.09643622762
469	0.09638695641
470	0.09633491583
471	0.09633297896
472	0.09626349266
473	0.09626169051
474	0.09619836305
475	0.09616270036
476	0.09611856257
477	0.09609979844
478	0.09606417809
479	0.09601355358
480	0.09598905591
481	0.09596372318
482	0.09590933352
483	0.09588762401
484	0.09583332207
485	0.09578298724
486	0.09572864367
487	0.09569685707
488	0.09564084273
489	0.0956100599
490	0.09557638014
491	0.09552551061
492	0.09547913895
493	0.09542805632
494	0.09539933577
495	0.09536985151
496	0.09532259294
497	0.09527728409
498	0.09521779286
499	0.095156704
