iter	RMSE
0	0.1701074867
1	0.1662998793
2	0.1629781771
3	0.1598200608
4	0.1569182226
5	0.1542652311
6	0.1516307901
7	0.1490436988
8	0.1469688138
9	0.1449010637
10	0.142788556
11	0.1407831861
12	0.1391179547
13	0.1375681943
14	0.1360521315
15	0.1345935493
16	0.133227093
17	0.1320862774
18	0.131035052
19	0.1300630789
20	0.1290766291
21	0.1282214236
22	0.1273703134
23	0.1265470841
24	0.125848895
25	0.1252691945
26	0.1246476916
27	0.1241157834
28	0.1236791873
29	0.1231453896
30	0.1226781955
31	0.1221774966
32	0.1217410245
33	0.1212414333
34	0.1208757423
35	0.1205017746
36	0.1201932362
37	0.1198546624
38	0.11956722
39	0.1193042831
40	0.1190373106
41	0.1187833123
42	0.1185587315
43	0.1183244901
44	0.1181443735
45	0.117944345
46	0.1177554246
47	0.1175713526
48	0.1173825057
49	0.1172446068
50	0.1170806208
51	0.116906241
52	0.1167769097
53	0.116638959
54	0.1164908394
55	0.1163389461
56	0.1161893411
57	0.1160961774
58	0.1159725938
59	0.1158625646
60	0.1157667093
61	0.1156711547
62	0.1155585947
63	0.115392104
64	0.115292661
65	0.1151883719
66	0.1150457454
67	0.1150013007
68	0.114912591
69	0.1148325085
70	0.1147356353
71	0.1146450345
72	0.1145469463
73	0.1144409014
74	0.114363524
75	0.1142810973
76	0.1141425773
77	0.1140647561
78	0.1139925264
79	0.1139107595
80	0.1138505837
81	0.1137747838
82	0.1136705319
83	0.1135813704
84	0.1135069738
85	0.1134460671
86	0.1133901214
87	0.1133324061
88	0.1132710709
89	0.1132281561
90	0.1131214259
91	0.113070111
92	0.1130113157
93	0.1129779146
94	0.1129099828
95	0.1128424418
96	0.1127768915
97	0.1126906023
98	0.1125905202
99	0.1125411103
100	0.1124988403
101	0.1124130541
102	0.1123560063
103	0.1123014422
104	0.1122285844
105	0.1121534389
106	0.1121055119
107	0.1120475935
108	0.1119752742
109	0.1119215289
110	0.1118609306
111	0.1117935032
112	0.1117516076
113	0.1116735453
114	0.1116146317
115	0.1115673545
116	0.1115224485
117	0.111483483
118	0.1114192873
119	0.1113594761
120	0.1112968561
121	0.11127438
122	0.1112414383
123	0.1112066533
124	0.1111300872
125	0.111057317
126	0.1110145433
127	0.1109283388
128	0.1108516664
129	0.1108092673
130	0.1107478211
131	0.1106791739
132	0.1106140127
133	0.1105727848
134	0.1105343869
135	0.1104979595
136	0.1104605252
137	0.1103980575
138	0.1103329012
139	0.1103123406
140	0.1102893801
