iter	Passed	Remaining
410	4316	934
411	4327	924
412	4337	913
413	4347	903
414	4358	892
415	4368	882
416	4378	871
417	4389	861
418	4399	850
419	4410	840
420	4421	829
421	4431	819
422	4442	808
423	4452	798
424	4464	787
425	4474	777
426	4485	766
427	4496	756
428	4507	745
429	4517	735
430	4527	724
431	4538	714
432	4548	703
433	4561	693
434	4571	683
435	4582	672
436	4592	662
437	4603	651
438	4614	641
439	4624	630
440	4635	620
441	4645	609
442	4656	599
443	4666	588
444	4676	577
445	4688	567
446	4699	557
447	4709	546
448	4719	536
449	4729	525
450	4739	514
451	4749	504
452	4759	493
453	4769	483
454	4780	472
455	4790	462
456	4801	451
457	4811	441
458	4821	430
459	4832	420
460	4842	409
461	4852	399
462	4861	388
463	4871	377
464	4882	367
465	4892	356
466	4903	346
467	4914	336
468	4924	325
469	4934	314
470	4945	304
471	4954	293
472	4964	283
473	4974	272
474	4985	262
475	4995	251
476	5006	241
477	5016	230
478	5027	220
479	5037	209
480	5047	199
481	5057	188
482	5068	178
483	5077	167
484	5088	157
485	5099	146
486	5109	136
487	5120	125
488	5131	115
489	5141	104
490	5151	94
491	5162	83
492	5173	73
493	5183	62
494	5193	52
495	5204	41
496	5214	31
497	5224	20
498	5235	10
499	5245	0
